Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
587,Ilie Sánchez\Ilie-Sanchez,es ESP,MF,Sporting KC,28,1990,32,2510,78,82.0,27.9,27,88,23,5,28,0,1.19,45,52,-7,-0.25,+1.55,51.1,39.2,+12.0,+0.43,+1.30,Matches
588,Richard Sánchez\Richard-Sanchez,mx MEX,GK,Chicago,24,1994,0,,,,,0,,0,0,,27,,,,,,,,,,,,Matches
589,James Sands\James-Sands,us USA,DFMF,NYCFC,18,2000,19,1485,78,48.5,16.5,18,82,14,1,8,1,1.68,26,24,+2,+0.12,-0.96,19.8,24.3,-4.5,-0.29,-0.95,Matches
590,Lamine Sané\Lamine-Sane,sn SEN,DF,Orlando City,31,1987,26,2275,88,74.3,25.3,25,90,25,1,24,0,1.27,34,35,-1,-0.04,+0.76,32.5,30.1,+2.4,+0.09,+0.24,Matches
591,Harold Santiago Mosquera\Harold-Santiago-Mosquera,co COL,FWMF,FC Dallas,23,1995,23,1173,51,38.3,13.0,12,78,2,11,22,1,1.25,20,14,+6,+0.46,+0.36,18.9,14.0,+4.9,+0.38,+0.33,Matches
592,Sergio Santos Gomes\Sergio-Santos-Gomes,br BRA,FWMF,Philadelphia,24,1994,17,626,37,20.5,7.0,5,65,0,12,25,1,1.37,14,15,-1,-0.14,-0.48,12.9,10.7,+2.2,+0.32,-0.08,Matches
593,Pedro Santos\Pedro-Santos,pt POR,FWMF,Columbus,30,1988,33,2761,84,90.2,30.7,30,88,23,3,38,0,1.15,37,42,-5,-0.16,+0.74,35.2,35.5,-0.3,-0.01,+1.25,Matches
594,C.J. Sapong\CJ-Sapong,us USA,FW,Chicago,30,1988,32,2547,80,83.2,28.3,29,85,22,3,23,0,1.19,43,41,+2,+0.07,-0.98,42.3,38.5,+3.7,+0.14,-0.65,Matches
595,Sebastián Saucedo\Sebastian-Saucedo,us USA,FWMF,Real Salt Lake,22,1997,26,1192,46,39.0,13.2,13,74,1,13,18,6,1.37,20,19,+1,+0.08,-0.12,15.3,13.7,+1.6,+0.12,+0.38,Matches
596,Gastón Sauro\Gaston-Sauro,ar ARG,DF,Columbus,28,1990,15,1284,86,42.0,14.3,15,86,14,0,,4,0.73,13,24,-11,-0.77,-0.92,13.3,18.0,-4.6,-0.33,-0.33,Matches
597,Jefferson Savarino\Jefferson-Savarino,ve VEN,FWMF,Real Salt Lake,22,1996,28,2315,83,75.7,25.7,27,85,17,1,26,1,1.50,36,30,+6,+0.23,+0.35,27.6,31.8,-4.2,-0.16,-0.21,Matches
598,Tate Schmitt\Tate-Schmitt,us USA,FW,Real Salt Lake,21,1997,6,93,16,3.0,1.0,1,79,0,5,3,9,1.33,1,1,0,0.00,-0.15,0.8,1.4,-0.6,-0.58,-0.48,Matches
599,Rasmus Schüller\Rasmus-Schuller,fi FIN,MFFW,Minnesota,27,1991,15,921,61,30.1,10.2,11,78,3,4,15,8,1.60,17,18,-1,-0.10,-0.52,13.1,14.2,-1.1,-0.11,-0.50,Matches
