Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
329,Brent Kallman\Brent-Kallman,us USA,DF,Minnesota,29,1990,4,271,68,14.3,3.0,1.00,90,,0.33,1,1.00,2.50,2.33,1.00,1.33,+1.33,+0.99,1.83,2.23,-0.37,-0.38,-0.09,Matches
330,Kei Kamara\Kei-Kamara,sl SLE,FW,Minnesota,35,1984,7,454,65,24.0,5.0,1.20,72,,0.20,20,0.00,1.44,0.80,1.00,-0.20,-0.20,-0.89,1.34,1.62,-0.28,-0.29,+0.03,Matches
331,Kei Kamara\Kei-Kamara,sl SLE,FW,Colorado,35,1984,9,525,58,32.4,5.8,0.86,90,,0.69,19,0.17,1.11,1.55,1.72,-0.17,-0.17,-0.58,1.62,1.40,0.22,+0.22,+0.08,Matches
332,Ola Kamara\Ola-Kamara,no NOR,FW,D.C. United,30,1989,22,1320,60,63.8,14.7,1.16,67,,0.34,37,0.07,0.91,0.68,1.90,-1.22,-1.23,-1.47,0.88,1.77,-0.89,-0.89,-0.66,Matches
333,Alec Kann\Alec-Kann,us USA,GK,Atlanta,29,1990,0,,,,,0,,,0,,23,,,,,,,,,,,,Matches
334,Johan Kappelhof\Johan-Kappelhof,nl NED,DF,Chicago,29,1990,4,202,51,9.8,2.2,0.91,90,,0.91,11,1.36,0.50,0.91,1.36,-0.45,-0.45,-0.20,0.64,3.09,-2.45,-2.40,-2.83,Matches
335,Guram Kashia\Guram-Kashia,ge GEO,DF,San Jose,32,1987,6,485,81,23.4,5.4,1.11,81,,0.00,,0.56,1.50,1.85,1.67,0.19,+0.19,+1.15,1.37,1.31,0.06,+0.06,+0.34,Matches
336,Aleksandar Katai\Aleksandar-Katai,rs SRB,MFFW,LA Galaxy,28,1991,2,115,58,5.8,1.3,1.54,58,,0.00,,0.00,0.50,0.77,0.77,0.00,0.00,+0.92,0.85,0.69,0.15,+0.14,+0.58,Matches
337,Mark-Anthony Kaye\Mark-Anthony-Kaye,ca CAN,MF,Los Angeles FC,25,1994,16,1087,68,54.9,12.1,1.24,72,,0.08,3,0.00,1.47,2.48,1.98,0.50,+0.50,+0.30,1.80,1.29,0.51,+0.52,-0.11,Matches
338,Aboubacar Keita\Aboubacar-Keita,us USA,DF,Columbus,19,2000,11,942,86,45.5,10.5,0.95,87,,0.10,74,1.05,1.42,1.52,0.95,0.57,+0.57,-0.14,1.18,1.61,-0.43,-0.43,-0.85,Matches
339,Jeremy Kelly\Jeremy-Kelly,us USA,DF,Colorado,22,1997,8,250,31,15.4,2.8,0.71,77,,2.14,16,2.86,1.25,1.79,2.14,-0.36,-0.36,-0.69,1.61,1.71,-0.07,-0.08,-0.29,Matches
340,Henry Kessler\Henry-Kessler,us USA,DF,New England,21,1998,22,1824,83,88.1,20.3,0.94,90,,0.15,38,0.05,1.46,1.03,1.08,-0.05,-0.05,-0.78,1.36,1.15,0.21,+0.21,-0.48,Matches
341,Jasser Khemiri\Jasser-Khemiri,tn TUN,DF,Vancouver,22,1997,5,386,77,18.6,4.3,1.16,77,,0.00,,0.93,1.20,1.16,2.33,-1.16,-1.17,-0.52,1.02,1.56,-0.51,-0.52,+0.12,Matches
342,Jerome Kiesewetter\Jerome-Kiesewetter,us USA,FW,Miami,26,1993,2,24,12,1.2,0.3,0.00,,,6.67,12,6.67,1.50,0.00,0.00,0.00,0.00,+0.44,1.67,0.67,1.33,+1.45,+1.51,Matches
343,Gadi Kinda\Gadi-Kinda,il ISR,MFFW,Sporting KC,25,1994,18,1386,77,73.3,15.4,1.04,82,,0.13,35,0.00,1.73,1.82,1.10,0.71,+0.71,+0.36,1.64,1.26,0.38,+0.37,+0.11,Matches
