Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
50,Corey Baird\Corey-Baird,us USA,FWMF,Real Salt Lake,24,1996,17.0,44.4,0.65,5.88,20.3,22.1,4.71,42.3,1.29,2.65,48.9,1.35,0.00,30.5,150.2,83.0,4.24,1.65,0.65,2.06,1.35,43.2,32.0,74.1,6.94,Matches
51,Michael Baldisimo\Michael-Baldisimo,ca CAN,MF,Vancouver,19,2000,7.8,64.2,2.56,23.1,35.5,7.31,0.13,59.4,1.03,1.15,88.9,1.15,0.00,40.1,158.7,72.1,1.41,0.26,0.00,1.03,1.41,45.8,43.8,95.8,1.03,Matches
52,Ezequiel Barco\Ezequiel-Barco,ar ARG,FWMF,Atlanta,20,1999,11.5,63.4,0.17,5.65,34.1,32.5,2.26,59.0,2.35,3.57,65.9,2.43,0.26,48.3,391.4,218.1,10.1,4.87,0.70,1.57,1.48,58.1,50.4,86.8,8.35,Matches
53,Tom Barlow\Tom-Barlow,us USA,FW,NY Red Bulls,24,1995,10.8,32.3,0.46,2.31,13.1,18.1,7.13,31.3,0.93,1.85,50.0,1.11,0.19,19.7,61.0,25.4,1.57,0.28,0.65,3.15,1.85,53.9,25.2,46.7,8.15,Matches
54,Álvaro Barreal\Alvaro-Barreal,ar ARG,FW,FC Cincinnati,19,2000,3.6,42.2,0.83,7.78,23.1,16.4,1.67,41.4,2.78,6.39,43.5,2.78,0.83,32.5,193.6,89.7,4.44,2.50,0.28,1.94,3.89,40.3,28.3,70.3,4.44,Matches
55,Michael Barrios\Michael-Barrios,co COL,FW,FC Dallas,28,1991,18.6,42.4,0.43,5.32,15.3,24.9,5.22,39.5,1.40,2.47,56.5,1.45,0.11,31.1,170.5,111.3,6.08,1.56,1.29,2.10,1.29,41.2,29.3,71.1,7.85,Matches
56,Cole Bassett\Cole-Bassett,us USA,MF,Colorado,18,2001,10.9,52.1,1.56,7.34,28.5,21.6,2.84,50.3,0.64,1.65,38.9,0.73,0.00,36.9,237.8,144.6,6.97,3.12,0.46,1.47,1.47,49.7,41.3,83.0,4.86,Matches
57,Clement Bayiha\Clement-Bayiha,ca CAN,DF,Montreal,20,1999,0.8,50.0,1.25,20.0,18.8,15.0,5.00,43.8,2.50,3.75,66.7,2.50,0.00,35.0,292.5,160.0,3.75,1.25,1.25,0.00,1.25,30.0,28.8,95.8,2.50,Matches
58,Tanner Beason\Tanner-Beason,us USA,DF,San Jose,22,1997,9.0,66.1,12.2,45.2,23.7,1.89,1.33,64.8,0.11,0.22,50.0,0.11,0.00,39.4,226.6,106.8,1.00,0.33,0.00,0.33,0.11,44.4,44.0,99.0,0.89,Matches
59,Brayan Beckeles\Brayan-Beckeles,hn HON,DF,Nashville,34,1985,0.8,53.8,3.75,21.3,25.0,13.8,0.00,43.8,1.25,1.25,100.0,1.25,0.00,31.3,116.3,87.5,1.25,2.50,0.00,0.00,1.25,32.5,28.8,88.5,0.00,Matches
