Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
254,Thomas Hasal\Thomas-Hasal,ca CAN,GK,Vancouver,20,1999,8.4,23.1,33.2,69.5,749.8,418.2,2.98,2.98,100.0,9.17,9.40,97.5,11.0,20.8,52.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
255,Jacori Hayes\Jacori-Hayes,us USA,MF,Minnesota,24,1995,6.7,40.4,47.3,85.5,709.3,204.6,19.4,22.1,87.8,16.4,17.9,91.7,3.88,5.07,76.5,0.15,0.18,-0.03,1.04,5.82,0.60,0.00,3.43,Matches
256,Héber\Heber,br BRA,FW,NYCFC,28,1991,9.9,21.2,27.5,77.2,325.1,45.3,11.8,14.1,83.6,5.76,7.68,75.0,2.02,2.73,74.1,0.20,0.18,0.02,1.41,1.11,0.51,0.00,1.11,Matches
257,Matt Hedges\Matt-Hedges,us USA,DF,FC Dallas,29,1990,17.1,48.1,55.3,86.9,1096.5,492.0,12.6,13.6,92.7,24.0,25.7,93.4,10.9,15.2,71.9,0.00,0.01,-0.01,0.23,3.22,0.12,0.06,2.87,Matches
258,Fabian Herbers\Fabian-Herbers,de GER,MFFW,Chicago,26,1993,15.1,30.5,39.9,76.6,450.6,122.2,18.3,21.9,83.9,8.94,11.7,76.3,2.12,2.98,71.1,0.07,0.19,-0.12,1.39,2.72,1.39,0.33,3.64,Matches
259,Felipe Hernandez\Felipe-Hernandez,us USA,MF,Sporting KC,21,1998,8.7,16.6,22.0,75.4,267.2,69.2,8.28,10.1,81.8,6.32,7.59,83.3,1.15,3.22,35.7,0.00,0.05,-0.05,0.34,2.07,0.34,0.00,1.38,Matches
260,Javier Hernández\Javier-Hernandez,mx MEX,FW,LA Galaxy,31,1988,8.4,16.4,21.3,77.1,290.4,59.6,8.69,10.4,83.9,5.12,6.55,78.2,2.02,3.33,60.7,0.00,0.10,-0.10,0.71,2.14,0.48,0.00,2.02,Matches
261,Aaron Herrera\Aaron-Herrera,us USA,DF,Real Salt Lake,22,1997,19.9,45.0,57.4,78.4,971.3,317.2,16.1,17.7,90.7,20.3,23.9,84.9,8.34,13.7,60.8,0.05,0.09,-0.04,0.90,3.07,1.11,0.55,3.77,Matches
262,Federico Higuaín\Federico-Higuain,ar ARG,MFDF,Miami,35,1984,0.3,80.0,100.0,80.0,1570.0,416.7,30.0,33.3,90.0,36.7,40.0,91.7,13.3,23.3,57.1,0.00,0.00,0.00,0.00,10.0,3.33,0.00,10.0,Matches
263,Federico Higuaín\Federico-Higuain,ar ARG,MFFW,D.C. United,35,1984,1.8,67.2,87.8,76.6,1342.8,316.7,27.2,29.4,92.5,30.0,37.2,80.6,8.89,18.9,47.1,0.00,0.06,-0.06,1.11,10.0,1.11,0.00,8.89,Matches
264,Gonzalo Higuaín\Gonzalo-Higuain,ar ARG,FW,Miami,32,1987,8.9,27.2,32.8,82.9,583.3,95.7,11.7,13.4,87.4,8.54,10.4,81.7,6.63,7.64,86.8,0.22,0.15,0.08,1.24,2.47,1.12,0.00,3.15,Matches
265,Danny Hoesen\Danny-Hoesen,nl NED,FW,San Jose,29,1991,2.8,15.4,25.7,59.7,249.3,36.4,8.57,11.1,77.4,5.71,10.0,57.1,0.71,2.14,33.3,0.00,0.04,-0.04,0.36,1.07,0.71,0.36,0.71,Matches
266,Ryan Hollingshead\Ryan-Hollingshead,us USA,DFFW,FC Dallas,28,1991,19.2,39.4,48.4,81.4,725.9,227.7,16.9,19.9,84.8,17.9,20.2,88.4,4.11,6.88,59.8,0.00,0.12,-0.12,1.15,2.60,0.68,0.16,4.01,Matches
267,Erik Holt\Erik-Holt,us USA,DF,Real Salt Lake,23,1996,4.3,46.5,56.0,83.0,1168.6,416.5,8.14,9.77,83.3,23.5,25.6,91.8,14.4,20.0,72.1,0.00,0.00,0.00,0.00,4.19,0.23,0.00,3.26,Matches
268,Shandon Hopeau\Shandon-Hopeau,us USA,FWMF,Seattle,21,1998,0.9,31.1,40.0,77.8,457.8,68.9,20.0,25.6,78.3,10.0,11.1,90.0,1.11,1.11,100.0,0.00,0.00,0.00,0.00,2.22,0.00,0.00,1.11,Matches
269,Erik Hurtado\Erik-Hurtado,us USA,FW,Sporting KC,29,1990,4.2,18.3,23.1,79.4,237.1,29.5,11.7,13.3,87.5,4.05,5.24,77.3,0.95,1.43,66.7,0.00,0.02,-0.02,0.48,1.43,0.48,0.24,0.95,Matches
270,Emerson Hyndman\Emerson-Hyndman,us USA,MF,Atlanta,23,1996,15.3,47.6,52.9,89.9,931.6,236.4,19.1,20.3,94.2,20.1,21.5,93.6,7.39,9.61,76.9,0.07,0.09,-0.03,0.85,5.82,1.31,0.07,5.75,Matches
271,Miguel Ibarra\Miguel-Ibarra,us USA,FW,Seattle,29,1990,2.8,29.6,38.9,76.1,470.7,117.5,16.4,19.6,83.6,10.4,13.6,76.3,1.79,2.86,62.5,0.00,0.00,0.00,0.00,1.07,0.00,0.00,2.50,Matches
272,Sebastien Ibeagha\Sebastien-Ibeagha,us USA,DF,NYCFC,28,1992,3.2,28.8,33.1,86.8,578.8,199.1,6.25,6.56,95.2,17.5,18.8,93.3,4.06,5.94,68.4,0.00,0.00,0.00,0.00,0.63,0.00,0.00,1.25,Matches
273,Milan Iloski\Milan-Iloski,us USA,FW,Real Salt Lake,20,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
274,Ilsinho\Ilsinho,br BRA,FWMF,Philadelphia,34,1985,7.1,50.1,57.0,87.9,740.0,210.6,31.1,34.1,91.3,15.1,17.5,86.3,2.68,3.38,79.2,0.42,0.39,0.03,1.55,3.38,2.54,0.00,5.63,Matches
275,Hwang In-beom\Hwang-In-beom,kr KOR,MF,Vancouver,23,1996,5.0,47.6,57.2,83.2,958.0,238.2,18.4,20.0,92.0,21.2,23.8,89.1,7.40,11.4,64.9,0.20,0.06,0.14,1.80,3.80,1.20,0.00,5.40,Matches
276,Emiliano Insúa\Emiliano-Insua,ar ARG,DF,LA Galaxy,31,1989,20.9,37.3,46.7,79.7,647.3,302.3,18.3,20.0,91.6,15.4,19.2,80.0,3.35,6.36,52.6,0.10,0.10,0.00,1.10,2.87,0.91,0.57,3.68,Matches
277,Clint Irwin\Clint-Irwin,us USA,GK,Colorado,30,1989,4.0,22.0,30.3,72.7,635.5,393.0,5.50,5.50,100.0,7.25,8.00,90.6,9.25,16.8,55.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
278,Aljaž Ivačič\Aljaz-Ivacic,si SVN,GK,Portland,26,1993,2.0,21.0,34.0,61.8,647.5,378.0,3.50,3.50,100.0,9.50,9.50,100.0,7.50,20.5,36.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
279,Anthony Jackson-Hamel\Anthony-Jackson-Hamel,ca CAN,FWDF,Montreal,26,1993,2.2,16.4,25.9,63.2,219.1,35.0,12.3,15.9,77.1,3.18,6.82,46.7,0.91,1.82,50.0,0.00,0.14,-0.14,0.45,0.45,0.45,0.45,0.91,Matches
280,Adam Jahn\Adam-Jahn,us USA,FW,Atlanta,29,1991,11.9,16.6,22.1,75.3,244.8,27.6,10.2,12.0,84.6,4.96,6.97,71.1,1.01,1.68,60.0,0.08,0.03,0.06,0.59,0.76,0.42,0.08,0.84,Matches
281,Dejan Jakovic\Dejan-Jakovic,ca CAN,DF,Los Angeles FC,34,1985,11.9,49.9,55.2,90.4,1015.1,376.6,16.6,18.3,90.4,25.4,26.4,96.2,7.65,9.75,78.4,0.00,0.01,-0.01,0.25,3.70,0.00,0.00,3.87,Matches
282,Robin Jansson\Robin-Jansson,se SWE,DF,Orlando City,28,1991,22.0,38.3,42.7,89.7,881.6,287.0,8.55,9.09,94.0,21.5,22.5,95.4,7.82,10.4,75.4,0.00,0.01,-0.01,0.09,1.55,0.00,0.00,1.36,Matches
283,Franco Jara\Franco-Jara,ar ARG,FW,FC Dallas,31,1988,15.3,15.1,19.9,76.0,241.4,33.8,7.58,9.08,83.5,5.42,6.80,79.8,1.37,1.96,70.0,0.00,0.08,-0.08,0.98,0.92,0.46,0.00,1.05,Matches
284,David Jensen\David-Jensen,dk DEN,GK,NY Red Bulls,27,1992,10.3,12.5,24.1,52.0,501.7,371.7,2.04,2.04,100.0,3.20,3.40,94.3,7.28,18.6,39.1,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,Matches
285,Hector Jiménez\Hector-Jimenez,us USA,DF,Columbus,31,1988,4.2,39.3,48.8,80.5,748.8,256.0,16.0,17.4,91.8,18.3,21.4,85.6,4.76,8.10,58.8,0.24,0.14,0.10,1.90,1.90,1.43,0.48,4.29,Matches
286,Sam Johnson\Sam-Johnson,lr LBR,FW,Real Salt Lake,26,1993,3.7,12.7,21.1,60.3,174.1,20.8,7.57,11.6,65.1,3.51,5.68,61.9,0.81,1.62,50.0,0.00,0.05,-0.05,1.08,0.27,0.54,0.00,0.54,Matches
287,Sean Johnson\Sean-Johnson,us USA,GK,NYCFC,30,1989,23.0,25.1,33.6,74.7,692.0,387.8,4.13,4.13,100.0,13.5,13.7,98.7,7.30,15.6,46.9,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,Matches
