Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
400,Kamal Miller\Kamal-Miller,ca CAN,DF,Orlando City,22,1997,9.0,0.00,0.33,0.00,0.0,0.33,0.00,0.00,,29.2,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
401,Tyler Miller\Tyler-Miller,us USA,GK,Minnesota,26,1993,5.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
402,Ben Mines\Ben-Mines,us USA,MFFW,NY Red Bulls,19,2000,1.9,0.53,1.58,0.53,33.3,1.54,0.51,0.33,1.00,12.7,0.00,0.00,0.00,0.32,0.32,0.18,0.21,0.21,Matches
403,Alexandru Mitriță\Alexandru-Mitrita,ro ROU,MFFW,NYCFC,24,1995,7.8,0.51,2.95,1.15,39.1,2.97,1.16,0.17,0.44,22.1,0.77,0.00,0.00,0.19,0.19,0.06,0.32,0.32,Matches
404,Youness Mokhtar\Youness-Mokhtar,ma MAR,FWMF,Columbus,28,1991,8.9,0.34,2.36,0.90,38.1,2.35,0.89,0.14,0.38,19.4,0.22,0.00,0.00,0.27,0.27,0.11,0.07,0.07,Matches
405,Kamohelo Mokotjo\Kamohelo-Mokotjo,za RSA,MF,FC Cincinnati,28,1991,6.1,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,23.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
406,Kevin Molino\Kevin-Molino,tt TRI,FWMF,Minnesota,29,1990,14.0,0.64,2.50,1.14,45.7,2.50,1.14,0.23,0.50,16.1,0.00,0.07,0.07,0.36,0.31,0.12,0.28,0.26,Matches
407,Mohamed El Monir\Mohamed-El-Monir,ly LBY,DF,Los Angeles FC,27,1992,6.7,0.15,1.64,0.30,18.2,1.64,0.30,0.09,0.50,24.1,0.15,0.00,0.00,0.07,0.07,0.05,0.07,0.07,Matches
408,Jamiro Monteiro\Jamiro-Monteiro,cv CPV,MF,Philadelphia,26,1993,21.5,0.14,1.49,0.60,40.6,1.49,0.60,0.06,0.15,22.0,0.14,0.05,0.05,0.16,0.13,0.08,-0.02,-0.03,Matches
409,Fredy Montero\Fredy-Montero,co COL,FW,Vancouver,32,1987,11.8,0.42,2.54,0.93,36.7,2.55,0.93,0.10,0.27,18.7,0.25,0.17,0.17,0.45,0.32,0.13,-0.03,-0.07,Matches
