Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
77,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,29,1990,21,21,1889,21.0,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Sebastián Blanco\Sebastian-Blanco,ar ARG,FWMF,Portland,31,1988,9,8,664,7.4,0.27,0.54,0.27,0.00,0.00,0.14,0.00,0.27,0.54,0.81,0.27,0.81,0.23,0.23,0.30,0.51,0.23,0.29,0.52,0.23,0.52,Matches
79,Latif Blessing\Latif-Blessing,gh GHA,MFDF,Los Angeles FC,23,1996,21,18,1721,19.1,0.05,0.10,0.05,0.00,0.00,0.21,0.00,0.05,0.10,0.16,0.05,0.16,0.16,0.16,0.11,0.27,0.16,0.11,0.26,0.16,0.26,Matches
80,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FWMF,Columbus,26,1994,10,3,328,3.6,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.08,0.22,0.14,0.07,0.22,0.14,0.22,Matches
81,Pablo Bonilla\Pablo-Bonilla,ve VEN,DF,Portland,20,1999,12,10,882,9.8,0.00,0.10,0.00,0.00,0.00,0.41,0.00,0.00,0.10,0.10,0.00,0.10,0.03,0.03,0.06,0.09,0.03,0.06,0.09,0.03,0.09,Matches
82,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,25,1994,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Jonathan Bornstein\Jonathan-Bornstein,us USA,DF,Chicago,35,1984,20,13,1142,12.7,0.08,0.08,0.08,0.00,0.00,0.16,0.00,0.08,0.08,0.16,0.08,0.16,0.02,0.02,0.09,0.11,0.02,0.09,0.11,0.02,0.11,Matches
84,Gustavo Bou\Gustavo-Bou,ar ARG,MFFW,New England,29,1990,18,14,1330,14.8,0.34,0.07,0.34,0.00,0.00,0.00,0.00,0.34,0.07,0.41,0.34,0.41,0.34,0.34,0.23,0.57,0.34,0.23,0.57,0.34,0.57,Matches
85,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota,31,1988,19,19,1710,19.0,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,0.04,0.04,0.00,0.04,0.04,0.04,Matches
86,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,32,1987,12,11,1061,11.8,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.03,0.09,0.07,0.03,0.10,0.07,0.10,Matches
87,Zachary Brault-Guillard\Zachary-Brault-Guillard,ca CAN,DF,Montreal,21,1998,21,19,1787,19.9,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.10,0.12,0.02,0.10,0.12,0.02,0.12,Matches
88,Bressan\Bressan,br BRA,DF,FC Dallas,27,1993,18,11,1173,13.0,0.00,0.08,0.00,0.00,0.00,0.31,0.00,0.00,0.08,0.08,0.00,0.08,0.02,0.02,0.00,0.02,0.02,0.00,0.02,0.02,0.02,Matches
89,Frédéric Brillant\Frederic-Brillant,fr FRA,DF,D.C. United,34,1985,19,18,1680,18.7,0.11,0.00,0.11,0.00,0.00,0.27,0.05,0.11,0.00,0.11,0.11,0.11,0.03,0.03,0.00,0.03,0.03,0.00,0.03,0.03,0.03,Matches
90,Brandt Bronico\Brandt-Bronico,us USA,DFMF,Chicago,24,1995,10,3,280,3.1,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.06,0.01,0.07,0.06,0.07,Matches
91,Will Bruin\Will-Bruin,us USA,FWMF,Seattle,30,1989,15,5,564,6.3,0.16,0.00,0.16,0.00,0.00,0.16,0.00,0.16,0.00,0.16,0.16,0.16,0.37,0.37,0.10,0.46,0.36,0.10,0.47,0.36,0.47,Matches
92,Tajon Buchanan\Tajon-Buchanan,ca CAN,FWDF,New England,20,1999,23,11,1087,12.1,0.17,0.17,0.17,0.00,0.00,0.08,0.00,0.17,0.17,0.33,0.17,0.33,0.24,0.24,0.14,0.38,0.24,0.14,0.38,0.24,0.38,Matches
93,Adam Buksa\Adam-Buksa,pl POL,FW,New England,23,1996,23,16,1500,16.7,0.36,0.06,0.36,0.00,0.06,0.24,0.00,0.36,0.06,0.42,0.36,0.42,0.40,0.34,0.12,0.46,0.40,0.12,0.52,0.34,0.46,Matches
94,Teal Bunbury\Teal-Bunbury,us USA,FWMF,New England,29,1990,22,19,1458,16.2,0.49,0.06,0.49,0.00,0.00,0.19,0.00,0.49,0.06,0.56,0.49,0.56,0.31,0.31,0.10,0.41,0.32,0.10,0.42,0.32,0.42,Matches
95,Cory Burke\Cory-Burke,jm JAM,FW,Philadelphia,28,1991,5,0,115,1.3,1.54,0.00,1.54,0.00,0.00,0.00,0.00,1.57,0.00,1.57,1.57,1.57,1.08,1.08,0.00,1.08,1.07,0.00,1.07,1.07,1.07,Matches
96,Evan Bush\Evan-Bush,us USA,GK,Vancouver,33,1986,8,8,720,8.0,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
97,Gianluca Busio\Gianluca-Busio,us USA,MFFW,Sporting KC,17,2002,19,15,1272,14.1,0.07,0.21,0.07,0.00,0.00,0.35,0.00,0.07,0.21,0.28,0.07,0.28,0.12,0.12,0.13,0.25,0.12,0.13,0.25,0.12,0.25,Matches
