Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
58,Tanner Beason\Tanner-Beason,us USA,DF,San Jose,22,1997,9.0,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
59,Brayan Beckeles\Brayan-Beckeles,hn HON,DF,Nashville,34,1985,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,37,1982,4.3,1.63,1.62,0.70,0.00,0.23,0.47,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,32,1987,20.3,2.96,2.96,2.61,0.00,0.00,0.20,0.00,0.15,0.34,0.34,0.30,0.00,0.00,0.05,0.00,0.00,0.00,Matches
62,George Bello\George-Bello,us USA,DF,Atlanta,18,2002,18.3,0.82,0.82,0.71,0.00,0.00,0.05,0.05,0.00,0.16,0.16,0.11,0.00,0.00,0.00,0.05,0.00,0.00,Matches
63,Jordan Bender\Jordan-Bender,us USA,MF,Orlando City,18,2001,0.5,2.00,1.96,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Joe Bendik\Joe-Bendik,us USA,GK,Philadelphia,30,1989,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
65,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Colorado,28,1991,5.5,5.09,5.12,4.18,0.18,0.18,0.18,0.18,0.18,0.73,0.73,0.55,0.00,0.00,0.00,0.18,0.00,0.00,Matches
66,Sebastian Berhalter\Sebastian-Berhalter,us USA,MF,Columbus,18,2001,4.4,2.05,2.04,1.82,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
67,Robert Berić\Robert-Beric,si SVN,FW,Chicago,28,1991,21.4,2.24,2.24,1.45,0.05,0.28,0.28,0.19,0.00,0.14,0.14,0.00,0.00,0.05,0.09,0.00,0.00,0.00,Matches
68,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,32,1987,9.0,1.22,1.22,1.11,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Nick Besler\Nick-Besler,us USA,MFDF,Real Salt Lake,26,1993,6.3,0.48,0.47,0.32,0.00,0.00,0.16,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,Matches
70,Janio Bikel\Janio-Bikel,pt POR,MFDF,Vancouver,24,1995,10.5,0.38,0.38,0.29,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
71,Noah Billingsley\Noah-Billingsley,nz NZL,DF,Minnesota,22,1997,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,David Bingham\David-Bingham,us USA,GK,LA Galaxy,30,1989,18.0,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches
73,Luis Binks\Luis-Binks,eng ENG,DF,Montreal,18,2001,19.6,0.41,0.41,0.31,0.00,0.00,0.05,0.05,0.00,0.15,0.15,0.10,0.00,0.00,0.05,0.00,0.00,0.00,Matches
74,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,29,1991,10.0,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches
