Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
121,Darwin Cerén\Darwin-Ceren,sv SLV,MF,Houston,30,1989,17.0,0.18,0.00,0.00,1.41,1.35,0.06,0.41,0.82,1.82,0.00,0.00,0.00,11.3,0.71,1.35,34.3,Matches
122,Edwin Cerrillo\Edwin-Cerrillo,us USA,MF,FC Dallas,19,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,,Matches
123,Thomás Chacón\Thomas-Chacon,uy URU,FWMF,Minnesota,19,2000,1.9,0.53,0.00,0.00,1.58,3.16,0.53,2.11,1.05,0.53,0.00,0.00,0.00,6.84,0.00,2.11,0.0,Matches
124,Maikel Chang\Maikel-Chang,cu CUB,FWMF,Real Salt Lake,28,1991,12.3,0.08,0.00,0.00,0.49,0.89,0.08,3.74,0.65,0.81,0.00,0.00,0.00,8.46,0.57,1.79,24.1,Matches
125,Maxime Chanot\Maxime-Chanot,lu LUX,DF,NYCFC,30,1989,19.0,0.21,0.05,0.00,0.95,0.32,0.05,0.05,1.21,0.95,0.00,0.11,0.00,11.8,4.11,1.53,72.9,Matches
126,Jay Chapman\Jay-Chapman,ca CAN,MF,Miami,26,1994,2.3,0.43,0.00,0.00,3.04,0.43,0.00,0.00,0.00,1.30,0.00,0.00,0.00,6.96,1.74,0.00,100.0,Matches
127,Diego Chará\Diego-Chara,co COL,MF,Portland,33,1986,20.0,0.40,0.00,0.00,2.30,1.90,0.05,0.30,1.05,1.65,0.00,0.00,0.00,10.8,0.55,0.45,55.0,Matches
128,Yimmi Chará\Yimmi-Chara,co COL,FWMF,Portland,28,1991,13.7,0.00,0.00,0.00,0.36,1.39,0.36,1.31,0.58,1.39,0.00,0.00,0.00,8.32,0.36,0.95,27.8,Matches
129,José Cifuentes\Jose-Cifuentes,ec ECU,MF,Los Angeles FC,20,1999,12.7,0.31,0.00,0.00,1.73,1.26,0.00,0.79,0.55,2.20,0.00,0.00,0.00,9.37,1.42,2.28,38.3,Matches
130,Laurent Ciman\Laurent-Ciman,be BEL,DF,Toronto FC,34,1985,6.0,0.33,0.00,0.00,1.50,0.83,0.00,0.00,0.83,1.17,0.00,0.00,0.00,9.83,1.67,1.33,55.6,Matches
131,Caden Clark\Caden-Clark,us USA,FWMF,NY Red Bulls,16,2003,3.1,0.00,0.00,0.00,2.90,1.61,0.00,0.97,0.65,1.61,0.00,0.00,0.00,6.45,1.61,2.58,38.5,Matches
132,Steve Clark\Steve-Clark,us USA,GK,Portland,33,1986,20.0,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.85,0.00,0.00,,Matches
133,Elliot Collier\Elliot-Collier,nz NZL,FWMF,Chicago,24,1995,5.9,0.00,0.00,0.00,1.86,0.68,0.34,1.69,0.34,1.02,0.00,0.00,0.00,5.59,1.53,2.37,39.1,Matches
134,Tomás Conechny\Tomas-Conechny,ar ARG,MFFW,Portland,21,1998,2.1,0.48,0.00,0.00,1.90,1.90,0.48,0.95,0.95,0.00,0.00,0.00,0.00,8.57,0.95,2.38,28.6,Matches
135,Derek Cornelius\Derek-Cornelius,ca CAN,DF,Vancouver,22,1997,11.3,0.27,0.00,0.00,0.80,0.88,0.00,0.00,0.35,1.33,0.09,0.00,0.00,6.55,2.65,1.33,66.7,Matches
136,Joe Corona\Joe-Corona,us USA,MF,LA Galaxy,29,1990,10.9,0.28,0.09,0.09,1.93,0.92,0.00,0.64,1.01,1.93,0.09,0.00,0.00,13.5,1.38,1.01,57.7,Matches
137,Cade Cowell\Cade-Cowell,us USA,FWMF,San Jose,16,2003,5.3,0.00,0.00,0.00,2.83,1.13,0.19,1.70,0.57,1.51,0.00,0.00,0.00,5.09,0.75,1.89,28.6,Matches
138,Warren Creavalle\Warren-Creavalle,us USA,MF,Philadelphia,29,1990,4.3,0.47,0.00,0.00,1.40,1.40,0.00,0.70,2.09,2.09,0.00,0.00,0.00,8.60,0.70,0.70,50.0,Matches
139,Maxime Crépeau\Maxime-Crepeau,ca CAN,GK,Vancouver,25,1994,3.6,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.89,0.00,0.00,,Matches
140,Allan Cruz\Allan-Cruz,cr CRC,MFFW,FC Cincinnati,23,1996,8.4,0.24,0.00,0.00,1.55,1.90,0.12,0.95,0.24,0.83,0.12,0.00,0.00,4.29,0.60,1.79,25.0,Matches
141,Emil Cuello\Emil-Cuello,us USA,MFFW,LA Galaxy,22,1997,2.7,0.37,0.00,0.00,5.19,0.74,0.37,1.48,1.11,1.48,0.00,0.00,0.00,5.56,0.74,1.85,28.6,Matches
142,Cristián Dajome\Cristian-Dajome,co COL,MFFW,Vancouver,26,1994,17.7,0.17,0.00,0.00,1.36,2.26,0.11,2.37,0.85,1.64,0.00,0.00,0.00,6.27,1.02,1.24,45.0,Matches
143,Rashawn Dally\Rashawn-Dally,jm JAM,FW,FC Cincinnati,23,1997,0.8,0.00,0.00,0.00,3.75,1.25,0.00,2.50,0.00,0.00,0.00,0.00,0.00,3.75,2.50,7.50,25.0,Matches
144,Jürgen Damm\Jurgen-Damm,mx MEX,FWMF,Atlanta,27,1992,7.0,0.14,0.00,0.00,0.86,0.71,0.29,4.57,0.14,0.57,0.14,0.00,0.00,7.43,0.86,1.00,46.2,Matches
145,Mario Daniel Vega\Mario-Daniel-Vega,ar ARG,GK,San Jose,35,1984,12.0,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,,Matches
146,Abu Danladi\Abu-Danladi,gh GHA,FW,Nashville,24,1995,6.4,0.16,0.00,0.00,1.56,1.09,0.16,1.56,1.09,1.88,0.00,0.00,0.00,5.00,0.94,3.44,21.4,Matches
147,Sean Davis\Sean-Davis,us USA,MF,NY Red Bulls,26,1993,12.0,0.08,0.00,0.00,1.33,1.17,0.00,0.92,1.00,1.25,0.00,0.00,0.00,14.3,1.42,0.83,63.0,Matches
148,Jack De Vries\Jack-De-Vries,us USA,FWMF,Philadelphia,17,2002,0.2,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,,Matches
149,Alex DeJohn\Alex-DeJohn,us USA,DFFW,Orlando City,28,1991,0.6,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,3.33,0.00,0.00,0.00,10.0,5.00,5.00,50.0,Matches
150,A.J. DeLaGarza\AJ-DeLaGarza,gu GUM,DF,Miami,32,1987,4.7,0.00,0.00,0.00,1.70,0.64,0.21,0.21,0.43,1.06,0.00,0.00,0.00,7.02,1.28,1.28,50.0,Matches
151,Antonio Delamea Mlinar\Antonio-Delamea-Mlinar,si SVN,DF,New England,28,1991,3.6,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.56,1.11,0.00,0.00,0.00,7.50,2.50,1.39,64.3,Matches
152,Jordy Delem\Jordy-Delem,mq MTQ,MF,Seattle,26,1993,8.2,0.24,0.00,0.00,1.59,1.71,0.00,0.00,1.10,1.22,0.00,0.00,0.00,10.2,1.46,0.37,80.0,Matches
153,Nick DeLeon\Nick-DeLeon,us USA,FWMF,Toronto FC,29,1990,10.3,0.19,0.00,0.00,1.17,1.07,0.49,0.97,0.29,0.49,0.00,0.00,0.00,6.31,0.68,1.55,30.4,Matches
154,Marky Delgado\Marky-Delgado,us USA,MF,Toronto FC,24,1995,16.0,0.06,0.00,0.00,0.94,1.19,0.06,1.00,0.94,1.06,0.00,0.06,0.00,11.8,0.50,0.44,53.3,Matches
155,Mathieu Deplagne\Mathieu-Deplagne,fr FRA,DF,FC Cincinnati,28,1991,13.0,0.46,0.00,0.00,1.54,0.85,0.00,0.62,0.92,1.08,0.00,0.08,0.00,7.85,0.92,1.08,46.2,Matches
156,Nick DePuy\Nick-DePuy,us USA,DF,LA Galaxy,25,1994,15.7,0.25,0.00,0.00,1.40,0.38,0.00,0.00,1.08,1.59,0.00,0.13,0.00,9.04,1.53,1.21,55.8,Matches
157,Maikel van der Werff\Maikel-van-der-Werff,nl NED,DF,FC Cincinnati,30,1989,10.8,0.19,0.00,0.00,1.39,0.83,0.19,0.00,0.37,1.02,0.00,0.00,0.00,9.91,2.41,1.39,63.4,Matches
158,Joey DeZart\Joey-DeZart,us USA,MF,Orlando City,21,1998,4.2,0.00,0.00,0.00,0.00,0.71,0.00,0.48,0.71,0.95,0.00,0.00,0.00,8.81,0.71,0.24,75.0,Matches
159,Justin Dhillon\Justin-Dhillon,us USA,FW,Seattle,24,1995,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.0,Matches
160,Amadou Dia\Amadou-Dia,us USA,DF,Sporting KC,26,1993,9.4,0.32,0.00,0.00,1.17,0.85,0.11,3.94,0.96,1.70,0.00,0.00,0.00,8.72,1.06,1.49,41.7,Matches
