Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
87,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,41,1978,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,,Matches
88,Mick van Buren\Mick-van-Buren,nl NED,FW,cz Slavia Prague,26,1992,0.5,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,2.00,0.0,Matches
89,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,28,1990,8.0,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,,Matches
90,Sergio Busquets\Sergio-Busquets,es ESP,MF,es Barcelona,31,1988,5.6,0.54,0.00,0.00,1.43,1.43,0.00,0.00,1.61,1.61,0.00,0.00,0.00,9.82,0.89,0.36,71.4,Matches
91,Adem Büyük\Adem-Buyuk,tr TUR,FW,tr Galatasaray,31,1987,1.0,0.00,0.00,0.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,5.00,11.0,31.3,Matches
92,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Chelsea,37,1981,2.0,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,5.50,0.00,0.00,,Matches
93,Mattia Caldara\Mattia-Caldara,it ITA,DF,it Atalanta,25,1994,2.8,0.00,0.00,0.00,2.50,0.71,0.36,0.00,1.79,1.07,0.00,0.00,0.00,7.14,1.43,1.43,50.0,Matches
94,José Callejón\Jose-Callejon,es ESP,MFFW,it Napoli,32,1987,6.3,0.00,0.00,0.00,0.63,1.43,0.00,2.70,0.16,0.63,0.32,0.00,0.00,4.44,0.00,1.43,0.0,Matches
95,Mohamed Camara\Mohamed-Camara,gn GUI,MF,gr Olympiacos,22,1997,4.6,0.22,0.00,0.00,1.30,2.17,0.00,1.09,0.43,1.09,0.00,0.00,0.00,12.0,1.74,1.96,47.1,Matches
96,Emre Can\Emre-Can,de GER,MF,de Dortmund,25,1994,2.0,0.00,0.50,0.00,3.00,1.00,0.00,0.50,0.50,0.50,0.00,0.00,0.00,13.5,0.50,1.00,33.3,Matches
97,José Cañas\Jose-Canas,es ESP,MF,rs Red Star,32,1987,3.5,0.00,0.00,0.00,0.29,1.43,0.00,0.00,1.14,1.14,0.00,0.00,0.00,7.14,0.57,0.57,50.0,Matches
