Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
733,Martin Terrier\Martin-Terrier,fr FRA,FWMF,fr Lyon,22,1997,5,240,48,26.7,2.7,1.11,70,0.00,0.74,16,0.00,1.60,1.48,1.11,0.37,+0.37,+0.51,0.78,2.15,-1.33,-1.36,-1.04,Matches
734,Tetê\Tete,br BRA,MF,ua Shakhtar,19,2000,3,155,52,28.7,1.7,1.18,74,0.59,0.59,7,0.00,0.67,1.76,1.18,0.59,+0.58,+1.98,1.24,1.59,-0.35,-0.35,+0.86,Matches
735,Kenny Tete\Kenny-Tete,nl NED,DF,fr Lyon,23,1995,5,145,29,16.1,1.6,0.63,90,0.63,2.50,14,2.50,1.40,2.50,1.88,0.63,+0.62,+0.74,1.13,3.44,-2.31,-2.27,-1.99,Matches
736,Kévin Théophile-Catherine\Kevin-Theophile-Catherine,fr FRA,DF,hr Dinamo Zagreb,29,1989,5,435,87,80.6,4.8,1.04,87,0.83,0.00,,0.00,1.00,1.88,1.67,0.21,+0.21,+3.64,1.19,2.19,-1.00,-0.99,+1.68,Matches
737,Malik Tillman\Malik-Tillman,de GER,MF,de Bayern Munich,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
738,Jurrien Timber\Jurrien-Timber,nl NED,DF,nl Ajax,18,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
739,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,es Barcelona,19,1999,1,90,90,11.1,1.0,1.00,90,1.00,0.00,,4.00,3.00,2.00,1.00,1.00,+1.00,+1.00,1.20,1.00,0.20,+0.21,+0.39,Matches
740,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,fr Lyon,26,1992,4,283,71,31.4,3.1,1.29,71,0.00,0.00,,0.00,1.50,1.61,1.61,0.00,0.00,0.00,1.13,2.03,-0.90,-0.88,-0.42,Matches
741,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,de Bayern Munich,24,1994,10,346,35,34.9,3.8,0.79,81,0.53,1.84,15,0.00,3.00,5.79,0.79,5.00,+4.94,+2.71,3.08,1.03,2.05,+2.03,+0.05,Matches
742,Rafael Tolói\Rafael-Toloi,br BRA,DF,it Atalanta,28,1990,7,630,90,77.8,7.0,1.00,90,1.00,0.00,,0.00,1.00,1.43,2.14,-0.71,-0.71,-2.71,1.64,1.97,-0.33,-0.32,-1.53,Matches
743,Tomané\Tomane,pt POR,FW,rs Red Star,26,1992,3,208,69,38.5,2.3,1.30,69,0.43,0.00,,0.43,1.00,1.30,2.17,-0.87,-0.87,+3.20,1.17,1.70,-0.52,-0.51,+2.78,Matches
744,Raúl de Tomás\Raul-de-Tomas,es ESP,FW,pt Benfica,24,1994,4,122,31,22.6,1.4,0.71,90,0.71,2.14,11,0.71,1.00,2.14,2.86,-0.71,-0.74,-0.74,1.79,1.64,0.14,+0.13,+0.45,Matches
745,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,eng Chelsea,21,1997,4,360,90,50.0,4.0,1.00,90,1.00,0.00,,0.50,1.75,1.75,1.50,0.25,+0.25,+1.50,2.23,0.55,1.68,+1.68,+2.37,Matches
746,Vasilis Torosidis\Vasilis-Torosidis,gr GRE,DF,gr Olympiacos,34,1985,1,90,90,16.7,1.0,1.00,90,1.00,0.00,,4.00,1.50,1.00,3.00,-2.00,-2.00,-1.20,0.70,1.10,-0.40,-0.43,+0.11,Matches
747,Ferrán Torres\Ferran-Torres,es ESP,MF,es Valencia,19,2000,6,478,80,66.4,5.3,0.94,83,0.38,0.19,61,0.38,1.17,1.89,2.45,-0.57,-0.56,-0.94,2.00,1.68,0.32,+0.31,+1.45,Matches
748,Lucas Tousart\Lucas-Tousart,fr FRA,MF,fr Lyon,22,1997,7,603,86,67.0,6.7,1.04,86,0.90,0.00,,0.00,1.57,1.34,1.19,0.15,+0.15,+0.45,0.94,1.18,-0.22,-0.23,+1.11,Matches
749,Bertrand Traoré\Bertrand-Traore,bf BFA,MFFW,fr Lyon,23,1995,5,231,46,25.7,2.6,0.77,83,0.38,1.15,22,1.92,1.40,1.15,1.92,-0.77,-0.78,-1.05,1.15,0.96,0.19,+0.18,+1.05,Matches
750,Ibrahim Traoré\Ibrahim-Traore,ci CIV,MFFW,cz Slavia Prague,30,1988,4,167,42,30.9,1.9,1.05,58,0.00,1.05,26,0.00,1.33,0.00,1.05,-1.05,-1.08,-0.11,0.95,2.26,-1.32,-1.35,-1.05,Matches
751,Kieran Trippier\Kieran-Trippier,eng ENG,DF,es Atlético Madrid,28,1990,6,540,90,64.3,6.0,1.00,90,0.83,0.00,,0.33,1.67,1.00,1.00,0.00,0.00,-1.20,1.23,0.68,0.55,+0.55,-0.20,Matches
752,Philipp Tschauner\Philipp-Tschauner,de GER,GK,de RB Leipzig,33,1985,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
753,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,gr Olympiacos,23,1996,6,540,90,100.0,6.0,1.00,90,1.00,0.00,,0.00,1.67,1.33,2.33,-1.00,-1.00,,1.28,1.80,-0.52,-0.52,,Matches
754,Roman Tugarev\Roman-Tugarev,ru RUS,MF,ru Loko Moscow,21,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
755,Andreas Ulmer\Andreas-Ulmer,at AUT,DF,at RB Salzburg,33,1985,6,540,90,100.0,6.0,1.00,90,1.00,0.00,,0.00,1.17,2.67,2.17,0.50,+0.50,,2.05,1.90,0.15,+0.15,,Matches
756,Sven Ulreich\Sven-Ulreich,de GER,GK,de Bayern Munich,30,1988,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
757,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,es Barcelona,25,1993,3,270,90,33.3,3.0,1.00,90,1.00,0.00,,0.33,2.33,2.00,1.00,1.00,+1.00,+1.33,1.57,0.90,0.67,+0.67,+1.22,Matches
758,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,de RB Leipzig,20,1998,8,659,82,73.2,7.3,1.10,82,0.82,0.00,,0.14,1.75,1.78,1.37,0.41,+0.41,+0.04,1.55,1.07,0.48,+0.48,-0.03,Matches
759,Jere Uronen\Jere-Uronen,fi FIN,DF,be Genk,25,1994,3,270,90,50.0,3.0,1.00,90,1.00,0.00,,0.00,0.33,1.00,3.33,-2.33,-2.33,+0.33,0.83,2.50,-1.70,-1.69,-0.46,Matches
760,Mathieu Valbuena\Mathieu-Valbuena,fr FRA,MF,gr Olympiacos,34,1984,3,105,35,19.4,1.2,0.83,68,0.00,1.67,19,0.83,1.89,1.67,3.33,-1.67,-1.71,-0.89,1.42,1.67,-0.17,-0.21,+0.39,Matches
761,Borja Valero\Borja-Valero,es ESP,MF,it Inter,34,1985,3,152,51,28.1,1.7,1.18,76,0.00,0.59,1,0.59,2.00,1.18,1.18,0.00,0.00,-0.23,1.06,1.41,-0.35,-0.36,-0.55,Matches
762,Albert Vallci\Albert-Vallci,at AUT,DF,at RB Salzburg,24,1995,1,2,2,0.4,0.0,0,,0,1,2,3,3.00,0,0,0,0.00,-0.50,0.0,0.1,-0.1,-2.89,-3.06,Matches
763,Manu Vallejo\Manu-Vallejo,es ESP,FWMF,es Valencia,22,1997,2,74,37,10.3,0.8,0.00,,0.00,2.50,37,3.75,3.00,5.00,0.00,5.00,+4.86,+5.70,1.63,1.25,0.37,+0.40,+0.64,Matches
764,Federico Valverde\Federico-Valverde,uy URU,MF,es Real Madrid,21,1998,6,348,58,48.3,3.9,1.03,83,0.51,0.51,8,0.26,1.67,2.56,0.51,2.05,+2.07,+3.04,2.62,1.05,1.56,+1.57,+2.16,Matches
765,Hans Vanaken\Hans-Vanaken,be BEL,MF,be Club Brugge,26,1992,6,540,90,100.0,6.0,1.00,90,1.00,0.00,,0.00,1.30,0.67,2.00,-1.33,-1.33,,1.25,1.50,-0.23,-0.24,,Matches
766,Maarten Vandevoordt\Maarten-Vandevoordt,be BEL,GK,be Genk,17,2002,1,90,90,16.7,1.0,1.00,90,1.00,0.00,,5.00,0.00,0.00,4.00,-4.00,-4.00,-1.80,1.70,3.20,-1.60,-1.56,-0.12,Matches
767,Raphaël Varane\Raphael-Varane,fr FRA,DF,es Real Madrid,26,1993,8,720,90,100.0,8.0,1.00,90,1.00,0.00,,0.00,1.38,2.00,1.50,0.50,+0.50,,1.95,1.50,0.46,+0.46,,Matches
768,Bruno Varela\Bruno-Varela,pt POR,GK,nl Ajax,24,1994,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
769,Aleksandr Vasyutin\Aleksandr-Vasyutin,ru RUS,GK,ru Zenit,24,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
770,Lucas Vázquez\Lucas-Vazquez,es ESP,FWMF,es Real Madrid,28,1991,4,102,26,14.2,1.1,0.91,66,0.00,2.73,12,0.91,0.25,0.91,2.73,-1.82,-1.76,-2.64,2.00,2.36,-0.45,-0.40,-1.00,Matches
771,Matías Vecino\Matias-Vecino,uy URU,MF,it Inter,27,1991,3,236,79,43.7,2.6,1.15,79,0.38,0.00,,0.77,1.00,1.54,1.92,-0.38,-0.38,-0.97,1.35,1.85,-0.50,-0.51,-0.97,Matches
772,Joël Veltman\Joel-Veltman,nl NED,DF,nl Ajax,27,1992,5,426,85,78.9,4.7,1.06,85,0.64,0.00,,0.00,1.67,2.13,0.85,1.28,+1.27,+1.27,1.11,1.83,-0.72,-0.72,+0.10,Matches
773,Marco Verratti\Marco-Verratti,it ITA,MF,fr Paris S-G,26,1992,9,589,65,59.5,6.5,0.92,90,0.77,0.46,17,0.00,2.11,2.15,0.62,1.54,+1.53,-0.49,2.05,1.17,0.89,+0.88,-0.78,Matches
774,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,eng Tottenham,32,1987,3,252,84,35.0,2.8,1.07,84,0.71,0.00,,1.07,1.33,3.21,3.21,0.00,0.00,0.00,2.29,1.43,0.86,+0.86,+1.06,Matches
