Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
69,Juan Bernat\Juan-Bernat,es ESP,DF,fr Paris S-G,26,1993,10,10,873,9.7,0.21,0.21,0.21,0.00,0.00,0.31,0.00,0.21,0.21,0.41,0.21,0.41,0.05,0.05,0.14,0.20,0.05,0.14,0.20,0.05,0.20,Matches
70,Antoine Bernede\Antoine-Bernede,fr FRA,MF,at RB Salzburg,20,1999,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.08,0.08,0.00,0.08,Matches
71,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,it Inter,26,1992,4,3,219,2.4,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.05,0.03,0.05,Matches
72,Daley Blind\Daley-Blind,nl NED,DF,nl Ajax,29,1990,5,5,427,4.7,0.00,0.00,0.00,0.00,0.00,0.64,0.21,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.03,Matches
73,Richmond Boakye\Richmond-Boakye,gh GHA,FW,rs Red Star,26,1993,5,1,190,2.1,0.48,0.00,0.48,0.00,0.00,0.48,0.00,0.47,0.00,0.47,0.47,0.47,0.19,0.19,0.05,0.24,0.19,0.05,0.24,0.19,0.24,Matches
74,Jérôme Boateng\Jerome-Boateng,de GER,DF,de Bayern Munich,30,1988,9,8,579,6.4,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
75,Serhiy Bolbat\Serhiy-Bolbat,ua UKR,DF,ua Shakhtar,26,1993,3,3,244,2.7,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
76,Theo Bongonda\Theo-Bongonda,be BEL,MFFW,be Genk,23,1995,6,2,258,2.9,0.00,0.34,0.00,0.00,0.00,0.34,0.00,0.00,0.35,0.35,0.00,0.35,0.31,0.31,0.10,0.41,0.30,0.11,0.41,0.30,0.41,Matches
77,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,it Juventus,32,1987,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.01,0.06,0.05,0.01,0.06,0.05,0.06,Matches
78,Neto Borges\Neto-Borges,br BRA,DF,be Genk,22,1996,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Jan Bořil\Jan-Boril,cz CZE,DF,cz Slavia Prague,28,1991,6,6,540,6.0,0.17,0.00,0.17,0.00,0.00,0.33,0.00,0.17,0.00,0.17,0.17,0.17,0.05,0.05,0.07,0.12,0.05,0.07,0.12,0.05,0.12,Matches
80,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,31,1987,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
