Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
69,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35.0,28.9,19.1,9.89,3.63,0.00,2.94,0.97,0.00,0.00,0.00,0.00,0.00,5.17,0.69,23.1,4.54,19.3,0.03,0.00,2.06,14.3,0.26,1.54,0.06,0.11,Matches
70,Sam Byram\Sam-Byram,eng ENG,DF,West Ham,23,1993,2.8,44.6,33.9,10.7,0.36,0.00,9.64,0.71,1.79,0.00,0.00,0.00,0.00,12.9,10.4,21.4,2.86,22.1,6.43,10.4,0.00,26.4,0.00,2.50,0.71,1.43,Matches
71,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3.0,27.7,23.3,4.33,1.33,0.00,2.33,0.33,0.00,0.00,0.00,0.00,0.00,14.3,2.00,11.3,2.33,21.7,0.00,0.00,3.00,20.3,0.00,0.67,0.00,0.67,Matches
72,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,53.2,46.9,6.29,2.01,0.04,9.09,3.83,2.69,3.94,0.19,0.08,0.19,35.7,3.56,14.0,3.22,47.9,1.55,0.15,0.34,40.9,0.11,1.02,0.80,1.21,Matches
73,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,31,1985,23.2,56.6,55.4,1.12,0.78,0.00,7.24,1.16,0.00,0.00,0.00,0.00,0.00,43.5,4.35,8.71,5.86,44.4,4.48,0.34,0.39,49.5,0.26,1.42,0.43,0.52,Matches
74,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FWMF,Everton,20,1997,20.9,24.7,24.0,0.72,0.00,0.05,7.89,0.19,0.77,0.00,0.00,0.00,0.00,12.7,4.78,7.18,2.34,12.9,4.78,0.19,0.53,15.1,0.19,0.43,0.48,1.20,Matches
75,Geoff Cameron\Geoff-Cameron,us USA,DFMF,Stoke City,32,1985,16.9,34.1,30.7,3.37,0.12,0.00,7.34,0.53,0.65,0.00,0.00,0.00,0.00,17.5,3.49,13.1,8.88,16.9,3.79,3.14,0.41,23.4,0.30,1.60,0.53,0.71,Matches
76,Tyrese Campbell\Tyrese-Campbell,eng ENG,FWMF,Stoke City,17,1999,0.9,21.1,20.0,1.11,0.00,0.00,3.33,0.00,1.11,0.00,0.00,0.00,0.00,12.2,3.33,5.56,13.3,2.22,5.56,0.00,0.00,11.1,0.00,0.00,1.11,1.11,Matches
77,Emre Can\Emre-Can,de GER,MF,Liverpool,23,1994,23.2,66.8,65.9,0.82,0.22,0.09,12.1,1.72,0.26,0.00,0.00,0.00,0.00,50.3,5.60,10.9,13.6,47.2,4.27,0.60,0.43,57.0,0.13,1.12,1.08,1.03,Matches
78,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,29,1988,17.1,50.3,49.0,1.29,0.58,0.12,8.83,2.87,0.23,0.06,0.00,0.00,0.00,31.9,5.79,12.6,6.37,37.0,5.79,0.12,0.12,40.9,0.00,1.23,0.99,0.76,Matches
79,Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,36,1981,1.2,76.7,76.7,0.00,0.00,0.83,5.83,5.83,0.83,0.00,0.00,0.00,0.00,53.3,5.00,18.3,12.5,63.3,0.83,0.00,0.00,65.8,0.00,1.67,2.50,2.50,Matches
80,André Carrillo\Andre-Carrillo,pe PER,FWMF,Watford,26,1991,17.1,44.3,43.3,1.05,0.29,0.06,11.1,1.05,3.04,0.23,0.00,0.06,0.00,31.6,3.98,8.77,5.15,36.4,2.05,0.41,0.12,32.5,0.06,1.52,1.11,1.87,Matches
81,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Southampton,26,1991,5.0,23.6,22.4,1.20,0.00,0.40,6.40,0.00,0.20,0.00,0.00,0.00,0.00,10.4,5.20,8.00,0.80,13.0,5.80,0.00,0.60,15.6,0.20,1.00,0.40,1.00,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FWMF,West Ham,28,1989,8.3,29.3,28.6,0.72,0.00,0.00,8.92,0.60,0.84,0.00,0.00,0.00,0.00,9.76,6.14,13.4,10.0,6.27,6.99,0.36,1.08,17.3,0.12,0.48,0.60,0.60,Matches
83,Tom Carroll\Tom-Carroll,eng ENG,MF,Swansea City,25,1992,28.6,53.7,49.3,4.41,1.99,0.03,9.44,2.87,2.66,2.24,0.07,0.14,0.10,37.7,3.15,12.9,47.3,5.28,0.87,0.00,0.00,42.2,0.10,1.47,1.12,1.47,Matches
