Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
71,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,2.69,2.68,1.33,1.10,0.00,0.08,0.11,0.08,0.27,0.26,0.11,0.04,0.00,0.04,0.04,0.04,0.00,Matches
73,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,31,1985,23.2,0.26,0.26,0.22,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FWMF,Everton,20,1997,20.9,2.06,2.06,1.44,0.00,0.05,0.19,0.33,0.05,0.53,0.53,0.29,0.00,0.05,0.10,0.10,0.00,0.00,Matches
75,Geoff Cameron\Geoff-Cameron,us USA,DFMF,Stoke City,32,1985,16.9,0.65,0.65,0.59,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
76,Tyrese Campbell\Tyrese-Campbell,eng ENG,FWMF,Stoke City,17,1999,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Emre Can\Emre-Can,de GER,MF,Liverpool,23,1994,23.2,2.54,2.54,2.37,0.04,0.00,0.09,0.04,0.00,0.43,0.43,0.39,0.00,0.00,0.00,0.04,0.00,0.00,Matches
78,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,29,1988,17.1,1.52,1.52,1.11,0.06,0.12,0.06,0.06,0.12,0.12,0.12,0.06,0.00,0.00,0.06,0.00,0.00,0.00,Matches
79,Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,36,1981,1.2,2.50,2.48,2.50,0.00,0.00,0.00,0.00,0.00,0.83,0.83,0.83,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,André Carrillo\Andre-Carrillo,pe PER,FWMF,Watford,26,1991,17.1,3.04,3.05,1.99,0.00,0.58,0.18,0.23,0.06,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Southampton,26,1991,5.0,2.00,1.99,1.60,0.00,0.20,0.20,0.00,0.00,0.40,0.40,0.20,0.00,0.00,0.20,0.00,0.00,0.00,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FWMF,West Ham,28,1989,8.3,1.93,1.93,1.08,0.00,0.24,0.24,0.36,0.00,0.12,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.00,Matches
83,Tom Carroll\Tom-Carroll,eng ENG,MF,Swansea City,25,1992,28.6,2.34,2.35,1.43,0.73,0.03,0.03,0.07,0.03,0.17,0.18,0.14,0.03,0.00,0.00,0.00,0.00,0.00,Matches
84,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,28,1989,5.8,0.52,0.55,0.34,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,35,1982,33.8,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
86,Nacer Chadli\Nacer-Chadli,be BEL,FWMF,West Brom,27,1989,2.9,1.38,1.67,0.69,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,22,1994,5.0,0.60,0.60,0.20,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,22,1995,9.6,0.73,0.72,0.42,0.10,0.10,0.00,0.00,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,20,1996,20.6,1.84,1.85,1.46,0.05,0.15,0.00,0.19,0.00,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,19,1997,4.2,0.48,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,Matches
91,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,21,1996,23.2,0.56,0.56,0.39,0.00,0.00,0.13,0.00,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
92,Lee Chung-yong\Lee-Chung-yong,kr KOR,FW,Crystal Palace,29,1988,1.5,3.33,3.44,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
93,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,27,1989,19.4,0.52,0.52,0.46,0.05,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches
94,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,27,1989,21.1,2.42,2.41,1.66,0.62,0.00,0.00,0.05,0.09,0.24,0.24,0.19,0.05,0.00,0.00,0.00,0.00,0.00,Matches
95,Sam Clucas\Sam-Clucas,eng ENG,MFFW,Swansea City,26,1990,22.7,1.28,1.28,0.88,0.22,0.00,0.13,0.04,0.00,0.09,0.09,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches
96,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DFMF,Liverpool,26,1991,1.9,1.05,1.03,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
97,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,28,1988,11.5,1.57,1.57,1.13,0.09,0.09,0.09,0.17,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,Matches
98,James Collins\James-Collins,wal WAL,DF,West Ham,33,1983,11.7,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
99,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,20,1997,24.9,2.17,2.17,1.69,0.24,0.12,0.08,0.04,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,Matches
100,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,26,1991,30.7,0.59,0.59,0.39,0.03,0.00,0.07,0.07,0.03,0.13,0.13,0.03,0.00,0.00,0.07,0.03,0.00,0.00,Matches
101,Francis Coquelin\Francis-Coquelin,fr FRA,MFDF,Arsenal,26,1991,1.9,1.05,1.15,1.05,0.00,0.00,0.00,0.00,0.00,0.53,0.58,0.53,0.00,0.00,0.00,0.00,0.00,0.00,Matches
102,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,28,1989,38.0,1.47,1.47,1.16,0.08,0.05,0.08,0.11,0.00,0.13,0.13,0.11,0.00,0.00,0.03,0.00,0.00,0.00,Matches
103,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,25,1992,35.0,0.14,0.14,0.11,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
104,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Liverpool,25,1992,12.3,6.34,6.29,3.82,0.98,0.73,0.33,0.33,0.16,1.14,1.13,0.49,0.16,0.16,0.08,0.16,0.08,0.00,Matches
105,Martin Cranie\Martin-Cranie,eng ENG,DFMF,Huddersfield,30,1986,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
106,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,27,1989,34.1,1.99,1.99,1.06,0.76,0.03,0.06,0.09,0.00,0.23,0.23,0.18,0.06,0.00,0.00,0.00,0.00,0.00,Matches
107,Peter Crouch\Peter-Crouch,eng ENG,FW,Stoke City,36,1981,17.4,2.07,2.08,1.84,0.00,0.06,0.06,0.11,0.00,0.11,0.12,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches
108,Josh Cullen\Josh-Cullen,ie IRL,FWMF,West Ham,21,1996,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
109,Charlie Daniels\Charlie-Daniels,eng ENG,DFMF,Bournemouth,30,1986,33.4,1.44,1.44,1.29,0.15,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,Matches
110,Danilo\Danilo,br BRA,DF,Manchester City,26,1991,15.0,1.93,1.95,1.40,0.07,0.07,0.07,0.13,0.20,0.20,0.20,0.13,0.00,0.00,0.00,0.00,0.07,0.00,Matches
111,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,30,1987,15.9,0.69,0.69,0.63,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
112,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,26,1990,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
