Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
63,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MFFW,it Juventus,21,1997,6.1,69.3,2.30,13.0,44.8,17.5,1.48,67.9,1.64,2.13,76.9,1.80,0.33,53.9,288.0,155.2,6.72,2.62,0.49,1.15,0.49,54.3,49.0,90.3,4.59,Matches
64,Karim Benzema\Karim-Benzema,fr FRA,FW,es Real Madrid,30,1987,6.5,52.8,1.08,3.08,22.5,30.3,9.08,50.5,2.77,4.46,62.1,3.08,0.15,43.4,206.5,109.2,6.62,1.85,2.31,1.69,2.62,65.4,43.7,66.8,12.5,Matches
65,Steve von Bergen\Steve-von-Bergen,ch SUI,DF,ch Young Boys,35,1983,4.5,41.8,4.00,23.1,20.7,0.67,0.00,40.4,0.44,0.44,100.0,0.44,0.00,24.9,121.3,63.6,1.56,0.22,0.00,0.00,0.00,24.0,24.0,100.0,0.00,Matches
66,Steven Bergwijn\Steven-Bergwijn,nl NED,FW,nl PSV Eindhoven,20,1997,4.4,34.8,0.45,6.59,17.7,13.6,3.41,33.9,1.82,5.23,34.8,2.05,0.00,26.6,179.3,115.7,6.59,1.82,1.14,1.36,2.27,35.2,24.3,69.0,5.91,Matches
67,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MFFW,it Juventus,24,1994,6.1,51.1,1.64,7.70,24.9,23.1,3.61,46.6,2.46,4.75,51.7,3.11,0.00,38.9,209.8,90.5,3.93,1.48,0.66,1.80,2.95,43.4,35.4,81.5,6.89,Matches
68,Juan Bernat\Juan-Bernat,es ESP,DFMF,fr Paris S-G,25,1993,7.5,66.4,3.60,18.5,31.5,20.0,2.67,59.5,1.07,2.13,50.0,1.20,0.00,46.4,200.0,119.7,6.13,1.60,0.67,1.33,0.40,48.0,43.7,91.1,4.27,Matches
69,Leonardo Bertone\Leonardo-Bertone,ch SUI,MF,ch Young Boys,24,1994,1.2,60.0,3.33,15.0,33.3,14.2,0.83,55.8,0.83,0.83,100.0,0.83,0.00,41.7,176.7,91.7,1.67,0.83,0.00,0.83,0.00,44.2,39.2,88.7,3.33,Matches
70,Giulian Biancone\Giulian-Biancone,fr FRA,DF,fr Monaco,18,2000,1.9,75.8,5.26,33.7,37.9,15.8,1.58,68.4,0.00,1.05,0.0,0.00,0.00,52.6,314.7,203.2,4.74,3.68,0.00,0.53,0.53,54.2,50.0,92.2,1.05,Matches
71,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,de Hoffenheim,28,1990,2.8,86.4,3.93,37.5,54.6,1.79,0.36,84.3,0.00,0.00,,0.00,0.00,62.1,353.6,200.4,2.50,0.71,0.00,0.36,0.36,65.0,63.9,98.4,0.00,Matches
72,Jaka Bijol\Jaka-Bijol,si SVN,MF,ru CSKA Moscow,19,1999,3.0,59.3,4.00,16.0,39.3,7.00,1.67,58.3,0.00,0.33,0.0,0.00,0.00,32.0,95.7,40.7,0.67,0.00,0.00,0.67,0.00,42.7,37.3,87.5,2.67,Matches
