Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
45,Gareth Bale\Gareth-Bale,wal WAL,FW,es Real Madrid,29,1989,5.4,39.8,39.3,0.56,0.00,0.37,8.33,1.85,2.04,0.00,0.00,0.00,0.00,26.5,5.56,7.78,32.2,2.96,2.04,0.56,0.37,31.3,0.19,0.37,0.19,1.85,Matches
46,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4.0,38.3,20.8,17.5,8.50,0.00,2.75,1.75,0.00,0.00,0.00,0.00,0.00,10.5,1.50,26.3,5.00,27.8,0.00,0.00,4.00,21.8,0.25,0.25,0.00,0.00,Matches
47,Dmitri Barinov\Dmitri-Barinov,ru RUS,MF,ru Loko Moscow,21,1996,3.2,37.8,36.3,1.56,0.63,0.00,5.94,0.31,0.63,0.00,0.00,0.00,0.00,22.8,5.31,9.69,5.63,24.7,4.69,0.63,0.31,27.8,0.00,0.00,0.63,0.94,Matches
48,Vasilios Barkas\Vasilios-Barkas,gr GRE,GK,gr AEK Athens,24,1994,6.0,35.2,22.3,12.8,3.83,0.00,2.50,0.67,0.00,0.00,0.00,0.00,0.00,8.00,1.17,26.0,22.2,4.33,0.17,0.00,2.67,20.0,0.17,1.17,0.17,0.00,Matches
49,Antonio Barreca\Antonio-Barreca,it ITA,DF,fr Monaco,23,1995,1.0,87.0,75.0,12.0,0.00,0.00,13.0,2.00,10.0,0.00,0.00,0.00,0.00,57.0,16.0,14.0,71.0,2.00,1.00,12.0,0.00,69.0,0.00,2.00,2.00,3.00,Matches
50,Andrea Barzagli\Andrea-Barzagli,it ITA,DF,it Juventus,37,1981,1.2,64.2,61.7,2.50,1.67,0.00,5.83,2.50,0.00,0.00,0.00,0.00,0.00,47.5,8.33,8.33,2.50,54.2,5.00,0.83,0.00,55.0,0.00,1.67,0.00,0.83,Matches
51,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,es Valencia,24,1993,3.8,28.7,26.3,2.37,0.00,0.00,6.32,0.79,0.53,0.00,0.00,0.00,0.00,21.8,4.21,2.63,7.63,18.9,1.05,0.26,0.26,23.2,0.00,0.00,1.05,0.79,Matches
52,Oliver Baumann\Oliver-Baumann,de GER,GK,de Hoffenheim,28,1990,6.0,36.3,24.8,11.5,2.50,0.00,2.83,1.50,0.00,0.00,0.00,0.00,0.00,17.5,1.83,17.0,6.50,23.3,0.00,0.00,4.67,25.2,0.33,1.00,0.17,0.17,Matches
53,Ömer Bayram\Omer-Bayram,tr TUR,DF,tr Galatasaray,27,1991,0.6,83.3,71.7,11.7,3.33,0.00,3.33,1.67,5.00,0.00,0.00,0.00,0.00,53.3,10.0,20.0,66.7,3.33,5.00,8.33,0.00,65.0,0.00,1.67,1.67,6.67,Matches
54,Riechedly Bazoer\Riechedly-Bazoer,nl NED,MF,pt Porto,21,1996,0.1,70.0,70.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.0,10.0,10.0,30.0,40.0,0.00,0.00,0.00,60.0,0.00,0.00,0.00,0.00,Matches
55,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,ru CSKA Moscow,22,1996,6.0,38.5,37.2,1.33,1.00,0.00,4.00,0.83,0.00,0.00,0.00,0.00,0.00,28.7,2.83,7.00,5.00,30.3,1.67,0.33,0.00,32.0,0.17,1.00,0.50,0.17,Matches
56,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,nl Ajax,21,1997,10.9,29.3,27.9,1.38,0.18,0.28,4.68,0.09,0.18,0.00,0.00,0.00,0.00,22.6,4.40,2.29,3.30,22.8,2.29,0.00,0.28,23.4,0.09,0.28,1.01,1.01,Matches
57,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,de Hoffenheim,26,1992,3.8,24.5,24.5,0.00,0.00,0.00,6.32,0.26,2.11,0.00,0.00,0.00,0.00,15.5,6.05,2.89,2.37,16.6,4.74,0.00,0.00,17.4,0.26,0.79,1.05,0.53,Matches
58,Younès Belhanda\Younes-Belhanda,ma MAR,MF,tr Galatasaray,28,1990,3.6,47.8,40.6,7.22,2.50,0.28,6.39,2.78,0.83,3.06,0.00,0.00,0.00,32.2,7.50,8.06,3.06,39.4,2.78,1.67,0.00,35.6,0.00,1.11,0.83,0.83,Matches
59,Diego Benaglio\Diego-Benaglio,ch SUI,GK,fr Monaco,34,1983,4.5,26.7,16.7,10.0,2.22,0.00,1.78,0.67,0.00,0.00,0.00,0.00,0.00,16.9,1.78,8.00,0.44,21.6,0.00,0.00,4.00,22.0,0.00,0.44,0.00,0.00,Matches
60,Medhi Benatia\Medhi-Benatia,ma MAR,DF,it Juventus,31,1987,1.0,75.0,75.0,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,67.0,2.00,6.00,5.00,68.0,2.00,0.00,0.00,70.0,0.00,0.00,0.00,0.00,Matches
61,Loris Benito\Loris-Benito,ch SUI,DF,ch Young Boys,26,1992,6.0,50.3,45.3,5.00,0.67,0.00,5.50,0.33,1.83,0.00,0.00,0.00,0.00,33.2,8.83,8.33,35.5,5.83,3.17,4.33,0.33,38.0,0.33,1.67,1.33,1.67,Matches
62,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,de Schalke 04,23,1994,4.7,47.4,44.9,2.55,1.70,0.00,7.02,1.49,0.43,0.43,0.00,0.00,0.00,32.6,5.74,9.15,36.2,6.38,3.40,0.43,0.43,37.4,0.43,1.70,1.06,0.85,Matches
63,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MFFW,it Juventus,21,1997,6.1,57.7,56.2,1.48,0.82,0.00,12.3,1.31,0.98,0.00,0.00,0.00,0.00,47.0,3.93,6.72,9.34,45.1,2.13,0.33,0.00,49.0,0.00,0.49,1.48,0.82,Matches
64,Karim Benzema\Karim-Benzema,fr FRA,FW,es Real Madrid,30,1987,6.5,40.6,38.2,2.46,0.31,0.00,9.23,0.92,1.38,0.00,0.00,0.00,0.00,32.6,5.23,2.77,6.77,31.7,1.08,0.00,0.46,33.8,0.00,0.00,0.77,1.69,Matches
65,Steve von Bergen\Steve-von-Bergen,ch SUI,DF,ch Young Boys,35,1983,4.5,33.3,32.0,1.33,1.33,0.00,2.89,0.44,0.00,0.00,0.00,0.00,0.00,24.9,2.00,6.44,17.3,13.1,2.89,0.00,0.00,28.4,0.44,0.22,0.44,0.44,Matches
66,Steven Bergwijn\Steven-Bergwijn,nl NED,FW,nl PSV Eindhoven,20,1997,4.4,22.7,21.8,0.91,0.00,0.00,2.73,0.23,0.91,0.00,0.00,0.00,0.00,15.7,3.64,3.41,1.36,18.6,2.27,0.00,0.23,18.4,0.00,0.23,0.91,0.91,Matches
67,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MFFW,it Juventus,24,1994,6.1,35.2,30.7,4.59,1.48,0.16,9.02,2.95,2.30,1.64,0.16,0.16,0.00,23.0,3.11,9.18,30.8,2.13,1.15,0.98,0.00,26.9,0.00,0.98,0.66,0.82,Matches
68,Juan Bernat\Juan-Bernat,es ESP,DFMF,fr Paris S-G,25,1993,7.5,55.3,48.3,7.07,0.67,0.00,9.20,0.67,1.33,0.00,0.00,0.00,0.00,43.2,8.67,3.47,45.5,1.73,1.33,6.40,0.00,48.3,0.00,0.53,0.53,1.73,Matches
69,Leonardo Bertone\Leonardo-Bertone,ch SUI,MF,ch Young Boys,24,1994,1.2,53.3,48.3,5.00,2.50,0.00,8.33,0.83,0.00,1.67,0.00,0.00,0.00,39.2,6.67,7.50,6.67,44.2,2.50,0.00,0.00,45.0,0.83,0.83,0.83,0.00,Matches
70,Giulian Biancone\Giulian-Biancone,fr FRA,DF,fr Monaco,18,2000,1.9,65.8,57.9,7.89,2.11,0.00,11.6,0.53,1.58,0.00,0.00,0.00,0.00,46.3,8.95,10.5,4.21,55.3,0.53,5.79,0.00,49.5,0.00,1.05,2.11,1.58,Matches
71,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,de Hoffenheim,28,1990,2.8,77.9,75.4,2.50,2.50,0.00,11.4,0.71,0.00,0.00,0.00,0.00,0.00,66.4,5.71,5.71,20.0,51.8,5.36,0.00,0.00,70.4,0.00,0.71,0.71,0.36,Matches
72,Jaka Bijol\Jaka-Bijol,si SVN,MF,ru CSKA Moscow,19,1999,3.0,48.0,46.7,1.33,1.33,0.00,8.33,2.67,0.00,0.00,0.00,0.00,0.00,31.0,11.0,6.00,5.00,34.3,5.67,0.00,0.33,37.7,0.00,0.33,0.67,1.00,Matches
73,Kristijan Bistrović\Kristijan-Bistrovic,hr CRO,MF,ru CSKA Moscow,20,1998,2.0,49.5,46.5,3.00,2.50,0.00,14.0,2.00,1.00,0.00,0.00,0.00,0.00,36.5,7.00,6.00,7.00,40.5,0.50,0.00,0.50,40.0,0.00,0.50,1.50,1.00,Matches
74,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,de Hoffenheim,24,1993,1.6,33.8,28.8,5.00,1.25,0.63,6.88,3.13,1.88,3.75,0.00,0.00,0.00,20.0,6.25,7.50,8.13,24.4,1.25,0.00,0.00,21.9,0.00,0.00,1.25,3.75,Matches
75,Daley Blind\Daley-Blind,nl NED,DFMF,nl Ajax,28,1990,12.0,68.1,64.6,3.50,2.50,0.00,10.7,0.50,0.50,0.00,0.00,0.00,0.00,50.2,5.92,12.0,56.3,6.50,3.00,0.92,0.17,55.3,0.25,1.33,0.75,1.17,Matches
76,Richmond Boakye\Richmond-Boakye,gh GHA,FW,rs Red Star,25,1993,2.1,25.2,23.3,1.90,0.00,0.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00,17.1,3.33,4.76,2.38,19.0,2.86,0.00,0.95,18.6,0.00,0.00,1.43,0.95,Matches
77,Jérôme Boateng\Jerome-Boateng,de GER,DF,de Bayern Munich,29,1988,5.0,86.4,84.2,2.20,1.80,0.00,5.60,5.60,0.00,0.00,0.00,0.00,0.00,61.6,8.20,16.6,27.8,53.0,4.80,0.40,0.00,72.8,1.00,0.20,1.00,0.80,Matches
78,Serhiy Bolbat\Serhiy-Bolbat,ua UKR,FWMF,ua Shakhtar,25,1993,1.9,23.7,23.7,0.00,0.00,0.00,4.74,0.00,0.53,0.00,0.00,0.00,0.00,22.6,0.00,1.05,2.11,21.6,0.00,0.00,0.00,19.5,0.00,0.00,0.53,2.11,Matches
79,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,it Juventus,31,1987,10.0,68.5,65.8,2.70,2.60,0.30,8.70,2.20,0.20,0.00,0.00,0.00,0.00,48.3,6.50,13.7,9.30,55.8,1.90,0.10,0.40,60.5,0.00,0.60,0.50,0.40,Matches
80,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,30,1987,6.0,36.3,21.2,15.2,4.17,0.00,1.50,1.50,0.00,0.00,0.00,0.00,0.00,9.83,1.67,24.8,1.83,27.5,0.00,0.00,3.67,20.0,0.33,1.50,0.00,0.00,Matches
81,Lucas Boyé\Lucas-Boye,ar ARG,FW,gr AEK Athens,22,1996,1.4,25.7,25.0,0.71,0.00,0.00,2.86,1.43,3.57,0.71,0.00,0.00,0.00,18.6,0.71,6.43,4.29,20.7,0.71,0.00,0.00,14.3,0.00,1.43,0.71,1.43,Matches
82,Yacine Brahimi\Yacine-Brahimi,dz ALG,FWMF,pt Porto,28,1990,6.9,35.9,35.2,0.72,0.43,0.29,5.65,0.29,0.72,0.00,0.00,0.00,0.00,30.7,3.19,2.03,4.06,30.9,0.29,0.29,0.14,29.1,0.29,0.43,0.72,1.88,Matches
83,Joshua Brenet\Joshua-Brenet,nl NED,DFFW,de Hoffenheim,24,1994,1.5,26.7,20.0,6.67,0.67,0.00,6.67,0.67,0.00,0.00,0.00,0.00,0.00,14.7,7.33,4.67,2.00,17.3,1.33,6.00,0.00,21.3,0.00,0.00,0.00,0.00,Matches
84,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,it Inter,25,1992,5.9,75.4,71.9,3.56,2.20,0.00,10.7,2.03,0.34,1.36,0.00,0.00,0.00,53.6,8.81,13.1,12.0,60.0,2.54,0.00,0.17,65.1,0.34,0.00,1.86,1.02,Matches
85,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,de Schalke 04,26,1991,2.0,33.0,32.0,1.00,0.50,0.00,10.0,1.50,0.00,0.00,0.00,0.00,0.00,20.5,4.50,8.00,4.00,26.0,1.50,0.50,0.00,29.5,0.00,0.00,0.50,0.00,Matches
