Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
203,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,29,1988,17.2,16.1,22.0,73.1,267.6,41.7,8.60,11.0,77.9,4.65,6.05,76.9,2.09,3.14,66.7,0.00,0.10,-0.10,1.16,1.10,0.87,0.35,1.40,Matches
204,Ander Herrera\Ander-Herrera,es ESP,MF,Manchester Utd,27,1989,14.1,64.4,74.0,87.0,1095.2,306.7,29.9,32.1,93.2,25.6,28.4,90.3,6.60,10.6,62.0,0.14,0.09,0.06,0.71,6.60,0.78,0.07,5.53,Matches
205,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,25,1992,25.7,30.4,37.9,80.1,434.9,91.7,17.4,20.3,85.8,10.6,12.8,82.9,1.13,2.33,48.3,0.23,0.18,0.05,1.32,1.25,1.09,0.23,2.37,Matches
206,Wesley Hoedt\Wesley-Hoedt,nl NED,DF,Southampton,23,1994,28.0,37.1,48.4,76.7,919.1,368.8,9.75,11.4,85.8,17.3,20.8,83.2,9.93,15.6,63.6,0.04,0.03,0.00,0.36,5.21,0.14,0.04,4.36,Matches
207,Jonathan Hogg\Jonathan-Hogg,eng ENG,MF,Huddersfield,28,1988,26.6,43.6,51.8,84.1,835.5,194.8,16.8,19.4,86.8,20.0,22.3,89.6,6.02,8.46,71.1,0.00,0.02,-0.02,0.34,3.83,0.26,0.00,3.38,Matches
208,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,21,1995,9.1,54.7,65.3,83.8,1168.9,367.6,15.6,18.7,83.5,28.8,31.8,90.7,9.78,13.6,71.8,0.00,0.00,0.00,0.22,4.18,0.11,0.00,3.19,Matches
209,José Holebas\Jose-Holebas,gr GRE,DFMF,Watford,33,1984,26.5,33.0,56.6,58.3,646.9,332.1,14.0,16.9,83.0,12.8,19.9,64.1,5.58,17.1,32.7,0.15,0.15,0.00,1.47,2.34,0.79,0.49,3.13,Matches
210,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,20,1996,13.2,27.7,41.3,67.2,633.0,274.6,8.11,10.5,77.0,12.9,16.6,77.6,6.44,13.0,49.7,0.00,0.04,-0.04,0.61,2.95,0.53,0.08,3.48,Matches
211,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,16,2000,0.3,43.3,53.3,81.3,913.3,226.7,6.67,10.0,66.7,30.0,33.3,90.0,3.33,6.67,50.0,0.00,0.00,0.00,0.00,6.67,3.33,0.00,6.67,Matches
212,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,22,1995,11.0,29.0,38.1,76.1,425.5,114.4,16.1,19.1,84.3,8.82,11.4,77.6,2.18,4.82,45.3,0.27,0.15,0.13,1.64,2.45,1.18,0.09,3.45,Matches
213,Jordan Hugill\Jordan-Hugill,eng ENG,FW,West Ham,25,1992,0.3,10.0,26.7,37.5,120.0,0.00,6.67,13.3,50.0,3.33,13.3,25.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
214,Uwe Hünemeier\Uwe-Hunemeier,de GER,DF,Brighton,31,1986,0.2,5.00,25.0,20.0,240.0,0.00,0.00,10.0,0.0,0.00,0.00,,5.00,15.0,33.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
215,Emerson Hyndman\Emerson-Hyndman,us USA,MF,Bournemouth,21,1996,0.6,38.3,43.3,88.5,601.7,141.7,15.0,15.0,100.0,20.0,21.7,92.3,1.67,5.00,33.3,0.00,0.00,0.00,1.67,1.67,0.00,0.00,5.00,Matches
216,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,21,1995,18.6,50.1,60.4,82.9,934.4,194.1,20.5,23.2,88.2,21.8,25.2,86.8,6.34,9.41,67.4,0.00,0.04,-0.04,0.65,4.35,0.59,0.22,3.66,Matches
217,Jordon Ibe\Jordon-Ibe,eng ENG,MFFW,Bournemouth,21,1995,22.2,26.1,35.6,73.4,421.7,123.9,14.0,16.9,82.9,8.42,10.5,79.9,2.79,5.27,53.0,0.27,0.17,0.10,1.53,1.40,1.17,0.23,3.06,Matches
218,Vicente Iborra\Vicente-Iborra,es ESP,MF,Leicester City,29,1988,15.7,43.0,53.3,80.6,835.4,211.0,16.4,19.9,82.4,19.9,23.4,85.0,5.92,8.34,71.0,0.00,0.01,-0.01,0.38,4.08,0.38,0.00,3.89,Matches
219,Zlatan Ibrahimović\Zlatan-Ibrahimovic,se SWE,MFFW,Manchester Utd,35,1981,1.2,46.7,65.0,71.8,765.8,196.7,24.2,31.7,76.3,18.3,24.2,75.9,3.33,6.67,50.0,0.00,0.17,-0.17,1.67,5.00,3.33,0.00,7.50,Matches
220,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,20,1996,9.2,20.3,26.5,76.6,312.8,77.2,11.7,14.8,79.4,5.33,6.63,80.3,2.39,3.70,64.7,0.33,0.23,0.10,1.20,0.98,1.30,0.11,2.28,Matches
221,Tom Ince\Tom-Ince,eng ENG,MFFW,Huddersfield,25,1992,27.2,20.4,26.9,75.7,343.2,64.7,10.0,11.7,86.1,7.90,9.12,86.7,2.02,4.49,45.1,0.00,0.05,-0.05,0.66,1.21,0.59,0.18,1.29,Matches
222,Danny Ings\Danny-Ings,eng ENG,FW,Liverpool,25,1992,3.0,17.0,26.3,64.6,295.7,48.0,9.00,12.3,73.0,5.67,8.00,70.8,2.00,3.00,66.7,0.00,0.07,-0.07,1.00,0.67,1.33,0.00,2.00,Matches
223,Stephen Ireland\Stephen-Ireland,ie IRL,MF,Stoke City,30,1986,1.5,38.0,46.7,81.4,596.7,137.3,20.0,22.0,90.9,14.7,16.0,91.7,2.67,6.67,40.0,0.00,0.00,0.00,0.67,4.67,0.00,0.00,4.67,Matches
224,Alex Iwobi\Alex-Iwobi,ng NGA,FWMF,Arsenal,21,1996,20.3,48.6,56.7,85.7,812.6,222.7,23.6,25.7,92.0,19.1,22.5,84.9,4.58,5.96,76.9,0.25,0.18,0.07,1.82,4.48,1.67,0.10,5.86,Matches
225,José Izquierdo\Jose-Izquierdo,co COL,MFFW,Brighton,25,1992,22.0,19.1,24.5,77.9,259.5,71.4,11.8,13.8,85.2,5.68,7.36,77.2,0.59,1.41,41.9,0.14,0.10,0.04,0.86,0.82,0.59,0.18,1.77,Matches
226,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Everton,34,1982,22.9,32.7,44.3,73.7,799.4,247.9,8.03,9.52,84.4,14.9,18.1,82.4,9.30,15.7,59.3,0.00,0.00,0.00,0.04,3.10,0.22,0.00,2.01,Matches
227,Eldin Jakupović\Eldin-Jakupovic,ch SUI,GK,Leicester City,32,1984,2.0,11.0,20.0,55.0,504.5,357.0,0.00,0.00,,4.00,4.50,88.9,7.00,15.5,45.2,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,Matches
228,Matty James\Matty-James,eng ENG,MF,Leicester City,26,1991,11.0,31.9,39.2,81.4,545.5,119.5,14.3,16.6,85.8,13.6,16.2,84.3,2.91,4.73,61.5,0.00,0.01,-0.01,0.18,2.09,0.18,0.00,1.91,Matches
229,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,28,1989,20.2,35.4,50.0,70.8,663.8,293.3,16.3,18.7,87.5,12.9,18.5,69.5,5.50,11.4,48.3,0.00,0.05,-0.05,0.59,4.01,1.39,0.74,4.85,Matches
230,Vincent Janssen\Vincent-Janssen,nl NED,DF,Tottenham,23,1994,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
231,Jesé\Jese,es ESP,FWMF,Stoke City,24,1993,6.8,17.2,23.7,72.7,279.1,67.8,9.12,11.6,78.5,5.00,6.03,82.9,2.21,4.12,53.6,0.15,0.10,0.04,1.32,0.88,1.03,0.00,1.76,Matches
232,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,20,1997,18.5,25.1,31.1,80.7,341.7,44.3,15.5,18.1,85.7,7.14,8.97,79.5,0.92,1.19,77.3,0.16,0.12,0.04,0.86,1.19,0.65,0.00,1.35,Matches
233,Glen Johnson\Glen-Johnson,eng ENG,DF,Stoke City,32,1984,6.1,23.3,36.7,63.4,524.4,269.8,7.87,9.34,84.2,10.2,14.6,69.7,4.92,11.3,43.5,0.00,0.05,-0.05,0.49,3.93,1.31,0.16,3.11,Matches
