Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
42,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,23,1993,4.0,1.25,1.00,0.50,0.75,0.00,0.25,0.50,50.0,0.25,18.0,3.50,19.4,1.25,9.00,7.75,0.00,0.00,0.00,0.00,0.25,1.50,1.00,0.00,Matches
43,Moritz Bauer\Moritz-Bauer,at AUT,DFMF,Stoke City,25,1992,14.5,1.86,0.83,1.31,0.34,0.21,0.55,1.52,36.4,0.97,14.1,3.31,23.5,7.72,4.34,2.00,1.59,0.07,0.00,1.52,0.55,2.41,1.72,0.00,Matches
44,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,21,1996,4.7,1.06,0.43,1.06,0.00,0.00,0.00,0.43,0.0,0.43,8.51,2.55,30.0,4.47,4.04,0.00,0.43,0.21,0.00,0.21,1.49,2.55,4.68,0.21,Matches
45,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.08,0.00,0.0,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.03,Matches
46,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,22,1995,33.9,1.53,1.00,1.00,0.35,0.18,0.62,1.53,40.4,0.91,11.7,3.45,29.5,6.05,3.51,2.15,1.98,0.27,0.06,1.71,0.83,2.36,1.56,0.03,Matches
47,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,30,1987,1.0,5.00,0.00,3.00,2.00,0.00,2.00,3.00,66.7,1.00,14.0,1.00,7.1,10.0,2.00,2.00,1.00,1.00,0.00,0.00,2.00,7.00,4.00,0.00,Matches
48,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,0.32,0.28,0.08,0.20,0.04,0.04,0.60,6.7,0.56,11.3,2.29,20.2,0.44,6.06,4.82,0.84,0.20,0.04,0.64,0.12,0.44,1.53,0.00,Matches
49,Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,23,1993,5.5,0.36,0.36,0.00,0.18,0.18,0.00,0.18,0.0,0.18,9.82,1.64,16.7,0.91,3.82,5.09,0.91,0.00,0.00,0.91,0.18,0.55,0.36,0.00,Matches
50,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,26,1990,31.5,0.89,0.54,0.48,0.25,0.16,0.41,1.30,31.7,0.89,18.0,5.02,27.9,6.98,7.24,3.75,1.17,0.03,0.00,1.14,0.95,1.84,0.98,0.00,Matches
51,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,27,1989,34.8,1.12,0.55,0.60,0.40,0.11,0.46,0.98,47.1,0.52,8.10,2.67,33.0,4.11,2.64,1.35,1.93,0.40,0.00,1.52,0.98,2.10,1.44,0.03,Matches
