Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
47,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,30,1987,1.0,51.0,7.00,20.0,19.0,15.0,1.00,47.0,0.00,0.00,,0.00,0.00,18.0,92.0,60.0,5.00,1.00,0.00,1.00,0.00,21.0,21.0,100.0,2.00,Matches
48,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,37.8,1.89,3.45,17.1,19.0,5.38,36.7,0.84,1.41,60.0,0.92,0.00,16.4,61.0,24.2,1.24,0.32,0.28,2.77,1.61,47.7,28.2,59.2,10.3,Matches
49,Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,23,1993,5.5,26.4,0.36,1.27,8.91,18.0,4.36,25.6,0.55,0.73,75.0,0.73,0.00,18.4,107.1,32.7,2.18,0.91,0.73,2.36,2.00,36.0,18.0,50.0,7.64,Matches
50,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,26,1990,31.5,43.3,1.24,6.98,16.2,23.7,2.06,38.3,0.89,1.62,54.9,0.98,0.00,27.3,181.6,88.6,5.08,1.78,0.44,1.52,1.62,30.3,24.6,81.1,5.46,Matches
51,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,27,1989,34.8,63.9,2.76,15.7,26.3,26.0,1.55,53.8,0.55,1.21,45.2,0.60,0.03,38.9,202.9,106.7,4.80,1.90,0.32,0.78,0.80,43.0,38.8,90.2,3.28,Matches
52,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Everton,24,1992,0.5,70.0,4.00,24.0,40.0,10.0,0.00,70.0,0.00,0.00,,0.00,0.00,52.0,220.0,134.0,2.00,0.00,0.00,2.00,2.00,48.0,48.0,100.0,2.00,Matches
53,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,21,1996,8.5,60.0,1.88,18.5,34.7,11.9,0.24,58.1,0.59,0.94,62.5,0.71,0.00,32.9,209.2,95.3,2.47,1.65,0.12,1.06,1.06,34.9,30.9,88.6,1.65,Matches
54,Mame Biram Diouf\Mame-Biram-Diouf,sn SEN,FWMF,Stoke City,29,1987,28.8,34.1,2.26,6.53,12.6,17.4,3.37,32.5,0.42,1.22,34.3,0.56,0.00,16.4,85.0,38.9,1.77,0.73,0.24,1.91,0.94,38.6,21.4,55.4,7.50,Matches
55,Daley Blind\Daley-Blind,nl NED,DFMF,Manchester Utd,27,1990,4.0,78.0,3.50,14.5,40.5,25.8,1.00,69.3,0.25,0.75,33.3,0.25,0.00,48.5,216.8,112.0,5.00,1.25,0.00,1.00,0.25,49.5,48.0,97.0,1.50,Matches
56,Jeremie Boga\Jeremie-Boga,ci CIV,MF,Chelsea,20,1997,0.2,25.0,0.00,0.00,5.00,20.0,0.00,25.0,0.00,0.00,,0.00,0.00,20.0,75.0,30.0,0.00,0.00,0.00,5.00,0.00,35.0,25.0,71.4,5.00,Matches
57,Yannick Bolasie\Yannick-Bolasie,cd COD,FWMF,Everton,28,1989,9.5,43.3,0.63,5.47,15.6,26.3,2.74,42.6,1.68,3.05,55.2,1.79,0.11,31.4,207.8,122.4,5.47,2.21,0.42,3.26,2.95,36.7,29.5,80.2,6.32,Matches
58,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,29,1988,24.8,51.5,4.72,19.2,23.4,12.9,0.24,42.7,0.36,0.69,52.9,0.36,0.00,26.8,175.2,94.0,3.47,1.73,0.08,0.69,0.48,25.6,24.0,94.0,0.40,Matches
