Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,19.5,31.3,27.3,3.95,1.49,0.05,8.21,2.36,3.33,2.21,0.15,0.21,0.05,18.3,3.69,9.28,24.8,3.74,1.79,0.26,0.10,20.9,0.31,0.67,0.77,1.18,Matches
48,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,23.5,36.9,36.3,0.55,0.13,0.04,8.34,0.72,1.87,0.17,0.00,0.00,0.00,26.0,5.66,5.28,10.2,25.3,0.85,0.26,0.30,26.9,0.09,0.94,1.23,1.91,Matches
49,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,19.5,52.0,40.6,11.4,0.67,0.00,7.03,0.82,1.18,0.00,0.00,0.00,0.00,27.2,9.38,15.4,33.6,3.28,3.13,10.7,0.10,37.7,0.10,1.33,1.44,1.69,Matches
50,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24.0,45.6,34.6,11.0,0.96,0.04,6.96,1.33,2.13,1.25,0.33,0.29,0.04,23.0,8.92,13.6,28.9,3.33,3.29,8.79,0.33,33.1,0.25,1.13,0.71,1.88,Matches
51,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7.0,33.9,21.6,12.3,3.14,0.00,2.14,1.14,0.00,0.00,0.00,0.00,0.00,12.9,0.57,20.4,0.71,27.9,0.29,0.00,4.00,22.0,0.57,1.71,0.29,0.14,Matches
52,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,24.3,51.5,45.7,5.80,0.58,0.08,10.8,2.02,3.05,0.04,0.04,0.00,0.00,31.3,5.68,14.5,34.4,6.21,3.13,5.14,0.12,37.5,0.08,1.65,1.36,1.15,Matches
53,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,19.7,36.9,35.5,1.37,0.15,0.05,6.70,0.96,0.25,0.15,0.00,0.05,0.00,27.6,4.72,4.57,3.65,30.0,2.03,0.15,0.36,30.3,0.25,0.66,0.81,0.81,Matches
54,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,27,1991,35.2,48.2,47.1,1.02,0.85,0.09,9.01,1.31,0.00,0.00,0.00,0.00,0.00,33.6,4.83,9.77,8.78,34.1,3.38,0.17,0.09,39.5,0.20,0.77,0.51,0.68,Matches
55,Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,1.5,36.7,36.7,0.00,0.00,0.00,10.0,1.33,2.00,0.00,0.00,0.00,0.00,24.7,7.33,4.67,5.33,28.0,3.33,0.00,0.00,27.3,0.00,0.67,0.67,2.67,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,20.1,43.7,32.3,11.4,0.40,0.05,6.97,0.30,1.59,0.00,0.00,0.00,0.00,19.5,8.06,16.2,25.7,4.03,2.54,11.0,0.00,29.8,0.15,0.90,0.70,1.74,Matches
57,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12.0,29.2,16.0,13.2,3.58,0.00,2.00,0.92,0.00,0.00,0.00,0.00,0.00,11.2,2.50,15.5,3.17,20.2,0.00,0.00,4.92,18.8,0.17,1.08,0.08,0.08,Matches
