"","","","","","","","","Playing Time","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success",""
"1","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
"626","601","Marcel Tisserand","cd COD","DF","Fenerbahçe","28-003","1993","15","1,350","90","88.2","15.0","15","90","15","0","","1","2.07","33","20","+13","+0.87","+0.37","Matches"
"627","602","Titi","br BRA","DF","Göztepe","32-307","1988","8","467","58","30.5","5.2","5","90","4","3","6","9","1.13","6","6","0","0.00","-0.08","Matches"
"628","603","Dorukhan Toköz","tr TUR","MF,DF","Besiktas","24-237","1996","14","774","55","50.6","8.6","9","74","3","5","22","2","2.00","19","11","+8","+0.93","-0.26","Matches"
"629","604","Mehmet Topal","tr TUR","MF,DF","Basaksehir","34-316","1986","11","490","45","32.0","5.4","4","79","2","7","25","4","1.55","6","8","-2","-0.37","-0.19","Matches"
"630","605","Jetmir Topalli","xk KVX","MF","Yeni Mal'spor","22-341","1998","10","158","16","10.3","1.8","1","45","0","9","13","4","1.00","3","3","0","0.00","+0.13","Matches"
"631","606","Tolga Topaloglu","tr TUR","MF","Göztepe","19-111","2001","0","","","","","0","","0","0","","2","","","","","","","Matches"
"632","607","Emir Topçu","tr TUR","DF","Rizespor","20-094","2000","0","","","","","0","","0","0","","1","","","","","","","Matches"
"633","608","Mert Topuz","tr TUR","GK","Ankaragücü","19-329","2001","0","","","","","0","","0","0","","4","","","","","","","Matches"
"634","609","Gökhan Töre","tr TUR","MF","Besiktas","28-359","1992","4","130","33","8.5","1.4","1","75","0","3","18","0","1.50","2","7","-5","-3.46","-4.94","Matches"
"635","610","Tunay Torun","tr TUR","MF,FW","Rizespor","30-267","1990","10","564","56","36.9","6.3","6","70","1","4","36","6","1.00","5","11","-6","-0.96","-0.77","Matches"
"636","611","Alin To<U+0219>ca","ro ROU","DF","Gaziantep FK","28-305","1992","15","1,343","90","87.8","14.9","15","90","14","0","","0","2.07","28","14","+14","+0.94","+1.90","Matches"
"637","612","Zargo Touré","sn SEN","DF","Gençlerbirligi","31-063","1989","14","1,260","90","82.4","14.0","14","90","14","0","","0","1.07","15","27","-12","-0.86","-0.52","Matches"
"638","613","Adama Traoré","ml MLI","MF","Hatayspor","25-199","1995","15","931","62","60.8","10.3","12","73","0","3","20","0","1.80","19","9","+10","+0.97","+2.02","Matches"
