Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
52,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,24.3,0.08,1.77,0.37,20.9,1.77,0.37,0.05,0.22,23.3,0.12,0.00,0.00,0.07,0.07,0.04,0.01,0.01,Matches
53,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,19.7,0.00,1.57,0.15,9.7,1.57,0.15,0.00,0.00,24.8,0.15,0.00,0.00,0.08,0.08,0.05,-0.08,-0.08,Matches
54,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,27,1991,35.2,0.11,0.63,0.17,27.3,0.63,0.17,0.18,0.67,10.2,0.00,0.00,0.00,0.08,0.08,0.12,0.04,0.04,Matches
55,Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,1.5,0.00,6.00,0.67,11.1,6.00,0.67,0.00,0.00,12.5,0.00,0.00,0.00,1.00,1.00,0.17,-1.00,-1.00,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,20.1,0.00,0.10,0.00,0.0,0.10,0.00,0.00,,27.5,0.00,0.00,0.00,0.00,0.00,0.03,-0.00,-0.00,Matches
57,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
58,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,8.0,0.00,1.50,0.25,16.7,1.50,0.25,0.00,0.00,21.0,0.25,0.00,0.00,0.09,0.09,0.06,-0.09,-0.09,Matches
59,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,2.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
60,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,25.1,0.28,1.63,0.84,51.2,1.63,0.84,0.17,0.33,14.8,0.00,0.00,0.00,0.23,0.23,0.14,0.05,0.05,Matches
61,Bruno\Bruno,es ESP,DF,Brighton,37,1980,12.6,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,21.2,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
62,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,26.1,0.00,0.80,0.27,33.3,0.81,0.27,0.00,0.00,22.6,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
63,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
64,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
65,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
66,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,24.4,0.04,0.98,0.20,20.8,0.98,0.21,0.04,0.20,22.4,0.00,0.00,0.00,0.05,0.05,0.05,-0.00,-0.00,Matches
67,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,19.8,0.30,2.78,0.86,30.9,2.77,0.86,0.11,0.35,12.6,0.00,0.00,0.00,0.26,0.26,0.09,0.04,0.05,Matches
68,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,28.5,0.18,1.37,0.35,25.6,1.37,0.35,0.13,0.50,22.9,0.18,0.00,0.00,0.09,0.09,0.07,0.08,0.08,Matches
70,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,32.7,0.03,0.52,0.09,17.6,0.52,0.09,0.06,0.33,28.4,0.15,0.00,0.00,0.03,0.03,0.06,0.00,0.00,Matches
71,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,5.1,0.00,2.75,1.18,42.9,2.73,1.17,0.00,0.00,11.1,0.00,0.00,0.00,0.37,0.37,0.13,-0.37,-0.37,Matches
72,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,30.8,0.03,0.84,0.23,26.9,0.84,0.23,0.04,0.14,19.1,0.00,0.00,0.00,0.06,0.06,0.08,-0.03,-0.03,Matches
73,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,34.4,0.09,0.47,0.17,37.5,0.47,0.17,0.19,0.50,9.0,0.00,0.00,0.00,0.05,0.05,0.12,0.03,0.03,Matches
74,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,7.7,0.39,1.56,0.52,33.3,1.56,0.52,0.25,0.75,15.4,0.00,0.00,0.00,0.29,0.29,0.18,0.10,0.10,Matches
75,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,6.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
76,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,3.0,0.00,0.67,0.33,50.0,0.67,0.33,0.00,0.00,24.2,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
77,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,28.8,0.07,1.22,0.42,34.3,1.22,0.42,0.06,0.17,19.0,0.00,0.00,0.00,0.08,0.08,0.06,-0.01,-0.01,Matches
78,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36.0,0.00,0.56,0.28,50.0,0.56,0.28,0.00,0.00,21.4,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
79,Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,18,1999,0.4,0.00,5.00,2.50,50.0,4.74,2.37,0.00,0.00,13.1,0.00,0.00,0.00,0.25,0.25,0.04,-0.25,-0.25,Matches
80,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,20,1997,6.6,0.00,0.61,0.30,50.0,0.61,0.30,0.00,0.00,18.7,0.00,0.00,0.00,0.06,0.06,0.10,-0.06,-0.06,Matches
81,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,22,1996,6.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
82,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,25,1992,21.6,0.00,0.51,0.19,36.4,0.51,0.18,0.00,0.00,21.3,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
