Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
16,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,15.9,2.01,0.88,0.94,0.44,0.63,0.31,2.77,11.4,2.45,26.2,6.92,26.4,6.35,13.5,6.42,1.32,0.00,0.00,1.32,0.75,2.77,0.50,0.00,Matches
17,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,22.1,0.45,0.27,0.14,0.18,0.14,0.09,0.45,20.0,0.36,15.2,3.21,21.2,1.31,6.02,7.83,0.54,0.14,0.00,0.41,0.09,0.54,0.32,0.00,Matches
18,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.03,0.00,0.0,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,Matches
19,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,22.2,2.48,1.80,0.81,1.26,0.41,0.72,2.39,30.2,1.67,34.4,7.84,22.8,8.38,18.3,7.66,1.58,0.23,0.00,1.35,0.90,3.38,0.77,0.00,Matches
20,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,16.6,1.63,0.96,0.66,0.60,0.36,0.36,1.51,24.0,1.14,24.6,5.60,22.7,7.11,12.3,5.24,1.33,0.12,0.00,1.20,0.18,1.81,0.48,0.00,Matches
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,0.69,0.40,0.17,0.26,0.26,0.17,1.16,14.3,0.99,19.7,4.95,25.1,2.67,9.08,7.95,1.19,0.00,0.00,1.19,0.17,0.86,0.43,0.00,Matches
22,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,6.3,3.49,1.90,2.54,0.79,0.16,0.79,1.90,41.7,1.11,20.8,7.14,34.4,9.05,8.25,3.49,2.22,0.32,0.00,1.90,1.11,4.60,2.54,0.16,Matches
23,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,10.9,0.92,0.46,0.28,0.28,0.37,0.46,0.73,62.5,0.28,25.4,5.05,19.9,2.20,10.6,12.7,1.01,0.18,0.00,0.83,0.28,1.19,1.28,0.00,Matches
24,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,13.1,3.21,2.14,0.84,1.76,0.61,0.76,1.76,43.5,0.99,43.8,10.6,24.2,4.73,25.7,13.4,1.83,0.15,0.00,1.68,0.53,3.74,0.23,0.00,Matches
25,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,5.3,1.70,1.13,0.57,0.75,0.38,0.75,1.51,50.0,0.75,16.6,3.96,23.9,6.04,6.98,3.58,2.45,0.38,0.00,2.08,0.94,2.64,0.94,0.00,Matches
26,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,37.8,2.59,1.48,1.38,0.93,0.29,0.74,1.72,43.1,0.98,16.6,4.52,27.3,8.23,6.19,2.14,2.06,0.48,0.03,1.59,0.93,3.52,2.43,0.00,Matches
27,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,13.9,0.72,0.50,0.43,0.14,0.14,0.22,0.58,37.5,0.36,15.8,4.03,25.6,4.82,6.55,4.39,1.29,0.00,0.00,1.29,0.79,1.51,0.72,0.00,Matches
28,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,15.7,2.61,1.66,1.34,0.96,0.32,1.21,3.76,32.2,2.55,25.6,6.56,25.6,8.66,13.8,3.18,2.04,0.06,0.00,1.97,1.78,4.39,0.89,0.00,Matches
29,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,6.2,2.42,1.45,1.29,0.81,0.32,0.97,3.55,27.3,2.58,28.5,5.81,20.3,11.1,15.0,2.42,1.77,0.32,0.00,1.45,2.10,4.52,2.58,0.00,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,7.1,1.97,0.99,1.83,0.14,0.00,0.70,0.85,83.3,0.14,9.30,3.10,33.3,5.63,3.52,0.14,1.97,0.56,0.00,1.41,1.13,3.10,4.51,0.00,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,4.2,1.67,0.95,0.95,0.71,0.00,0.95,1.43,66.7,0.48,8.81,1.67,18.9,3.57,2.62,2.62,1.19,0.00,0.00,1.19,0.71,2.38,0.95,0.24,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,22.4,1.61,1.21,1.34,0.27,0.00,0.49,1.79,27.5,1.29,7.86,2.90,36.9,5.76,1.83,0.27,1.52,0.67,0.00,0.85,1.70,3.30,7.46,0.04,Matches
33,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,6.6,2.12,1.06,1.67,0.45,0.00,0.76,1.52,50.0,0.76,7.88,2.73,34.6,5.91,1.67,0.30,1.52,0.61,0.00,0.91,1.21,3.33,6.06,0.00,Matches
34,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,27.5,2.69,1.24,1.71,0.98,0.00,0.98,2.07,47.4,1.09,12.9,3.96,30.7,7.78,4.84,0.29,3.27,1.09,0.07,2.18,2.33,5.02,5.78,0.04,Matches
