Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
314,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,27,1991,38.0,42.9,56.3,76.1,853.6,265.9,15.8,18.1,87.5,19.5,22.9,85.4,6.84,13.7,50.0,0.05,0.08,-0.03,1.55,4.76,0.68,0.21,4.68,Matches
315,James Milner\James-Milner,eng ENG,MFDF,Liverpool,32,1986,19.9,65.3,81.1,80.5,1302.6,462.1,26.8,30.3,88.6,27.1,31.2,86.8,10.6,17.0,62.1,0.20,0.24,-0.04,2.26,7.19,2.06,0.35,7.89,Matches
316,Yerry Mina\Yerry-Mina,co COL,DF,Everton,23,1994,9.9,41.7,49.3,84.6,940.1,329.7,9.60,11.3,84.8,22.9,24.8,92.3,9.09,12.6,72.0,0.00,0.02,-0.02,0.30,2.83,0.10,0.00,3.23,Matches
317,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Bournemouth,25,1993,1.6,46.3,56.9,81.3,860.6,309.4,18.1,21.9,82.9,22.5,25.0,90.0,5.00,8.13,61.5,0.00,0.00,0.00,0.00,5.00,0.00,0.00,3.13,Matches
318,Aleksandar Mitrović\Aleksandar-Mitrovic,rs SRB,FW,Fulham,23,1994,36.4,20.9,28.9,72.3,289.0,51.8,13.5,17.5,77.2,5.66,8.35,67.8,1.02,1.51,67.3,0.08,0.07,0.01,0.71,1.24,0.44,0.00,1.73,Matches
319,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FWMF,Arsenal,29,1989,18.2,36.3,47.9,75.8,579.6,166.9,19.0,22.7,83.6,13.7,16.7,82.2,2.69,5.60,48.0,0.22,0.24,-0.02,1.48,3.68,1.76,0.11,4.95,Matches
320,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,32,1986,20.7,54.2,62.6,86.5,906.0,317.5,26.1,27.9,93.6,22.9,26.0,88.3,4.20,6.57,64.0,0.14,0.06,0.08,0.53,3.29,0.68,0.14,3.67,Matches
321,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,27,1991,24.1,37.1,47.5,78.2,660.4,292.9,16.4,18.3,90.0,16.6,21.0,79.4,3.78,6.60,57.2,0.04,0.05,-0.00,0.79,2.78,1.12,0.50,3.53,Matches
322,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Huddersfield,27,1990,25.9,41.6,55.1,75.5,745.6,240.0,21.1,24.1,87.4,14.4,17.8,80.9,5.56,11.0,50.5,0.04,0.11,-0.07,1.66,5.17,1.12,0.35,4.79,Matches
323,Álvaro Morata\Alvaro-Morata,es ESP,FW,Chelsea,25,1992,10.5,16.3,20.9,78.1,245.0,22.4,8.95,11.1,80.3,5.14,6.67,77.1,1.33,1.90,70.0,0.00,0.02,-0.02,0.57,1.24,0.10,0.00,0.48,Matches
324,Alberto Moreno\Alberto-Moreno,es ESP,DF,Liverpool,26,1992,1.7,64.7,74.1,87.3,1256.5,397.1,25.9,27.6,93.6,30.0,32.4,92.7,8.82,12.9,68.2,0.00,0.12,-0.12,1.76,4.12,2.94,0.59,7.06,Matches
325,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,34,1984,21.4,34.5,41.9,82.5,702.2,205.0,10.6,11.8,89.3,17.7,21.1,84.0,5.84,8.27,70.6,0.00,0.01,-0.01,0.09,1.59,0.00,0.00,1.50,Matches
326,Sean Morrison\Sean-Morrison,eng ENG,DF,Cardiff City,27,1991,33.8,15.5,26.9,57.8,337.5,159.9,5.15,7.63,67.4,7.07,10.3,68.9,3.20,8.20,39.0,0.09,0.07,0.01,0.50,1.04,0.24,0.03,1.57,Matches
327,Victor Moses\Victor-Moses,ng NGA,FW,Chelsea,27,1990,0.3,36.7,46.7,78.6,556.7,60.0,20.0,23.3,85.7,16.7,20.0,83.3,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,3.33,0.00,3.33,Matches
328,Steve Mounié\Steve-Mounie,bj BEN,FW,Huddersfield,23,1994,19.8,18.3,28.1,65.2,263.9,45.6,11.2,15.7,71.1,6.06,9.55,63.5,0.76,1.26,60.0,0.15,0.08,0.07,0.86,1.26,0.15,0.00,1.36,Matches
329,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,25,1992,23.6,23.8,31.6,75.3,366.5,91.6,13.1,15.7,83.6,8.69,11.4,75.9,1.53,2.92,52.2,0.00,0.08,-0.08,1.14,1.57,0.76,0.08,2.37,Matches
330,Lys Mousset\Lys-Mousset,fr FRA,FWMF,Bournemouth,22,1996,4.1,21.0,29.5,71.1,270.0,69.8,14.4,19.0,75.6,5.12,7.80,65.6,0.49,0.49,100.0,0.00,0.12,-0.12,0.98,2.20,1.46,0.00,2.44,Matches
331,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,31,1986,33.7,49.3,61.2,80.5,1042.9,290.4,16.6,18.4,90.3,22.4,25.9,86.5,9.79,16.0,61.3,0.24,0.17,0.07,2.37,5.79,1.34,0.42,5.49,Matches
332,Jacob Murphy\Jacob-Murphy,eng ENG,MFFW,Newcastle Utd,23,1995,3.4,11.5,20.9,54.9,246.8,94.4,3.53,5.88,60.0,5.59,8.53,65.5,2.35,6.18,38.1,0.29,0.12,0.18,0.29,0.59,0.88,0.59,1.47,Matches
333,Josh Murphy\Josh-Murphy,eng ENG,FWMF,Cardiff City,23,1995,20.2,10.3,19.0,54.4,185.6,72.5,5.59,7.28,76.9,3.12,5.84,53.4,1.49,4.31,34.5,0.10,0.15,-0.05,0.69,0.99,0.59,0.30,1.14,Matches
334,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,34,1983,27.9,13.8,22.7,60.8,200.5,38.4,8.06,13.0,62.2,4.30,6.38,67.4,0.86,1.83,47.1,0.04,0.03,0.01,0.39,0.90,0.32,0.11,1.11,Matches
